"Bucket","Namespace","Size (GiB)","SnapshotDate"
"s3-bucket-tst-dkfiles","s3-ns-tst-frontend","0.205","2026-05-20"
"ecmdrcprd-s3-bucket","s3-prod-namespace","0","2026-05-20"
"CM-TEST","centera_...95314f20","2282.797","2026-05-20"
"s3-test-retention","s3-test-namespace","660.1133","2026-05-20"
"s3-starburst-bucket","s3-prod-opensol","1013.9895","2026-05-20"
"ECS-TEST2","centera_...95314f20","1439.3872","2026-05-20"
"ECS-TEST","centera_...95314f20","193.1618","2026-05-20"
"s3-bucket-prd-dkfiles","s3-ns-prd-frontend","0.0667","2026-05-20"
"s3-bucket-tst-pisano","s3-ns-tst-pisano","0","2026-05-20"
"s3-enpara-bucket","s3-test-enpara","0.5328","2026-05-20"
"s3-qnbwise-bucket","s3-test-opensol","21.2777","2026-05-20"
"s3-pxdrc2uom-bucket","s3-drc-opensol","0.0465","2026-05-20"
"s3-pxuom2drc-bucket","s3-prod-opensol","0.0005","2026-05-20"
"s3-email-bucket","s3-prod-namespace","165979.946","2026-05-20"
"s3-qnbwise-bucket-pp","s3-test-opensol","0.0325","2026-05-20"
"s3-test-bucket-SMG","s3-test-namespace","0.1698","2026-05-20"
"CM-PROD","centera_...95314f20","82788.7065","2026-05-20"
"s3-bucket-prd-pisano","s3-ns-prd-pisano","0","2026-05-20"
"s3-bucket-tst-kep","s3-ns-tst-backend","1.2213","2026-05-20"
"s3-bucket-tst-kubeflow","s3-test-opensol","0","2026-05-20"
"s3-test-bucket","s3-test-namespace","4054.6609","2026-05-20"
"s3-ml-bucket","s3-prod-generic","203.1744","2026-05-20"
"s3-bucket-pre-dkfiles","s3-ns-pre-frontend","0","2026-05-20"
"s3-dev-smgai-llm","s3-dev-smg","627.4044","2026-05-20"
"jcas","jcas","189.4309","2026-05-20"
"s3-prod-migration-bucket","s3-prod-namespace","217642.3583","2026-05-20"
"ECS-TEST3","centera_...95314f20","1608.3711","2026-05-20"
"s3-ocpoadp-bucket","s3-prod-opensol","8.8054","2026-05-20"
"s3-prod-smgai-llm","s3-prod-smg","123.5857","2026-05-20"
"test-bucket","test-namespace","2210.0592","2026-05-20"
"s3-lagomamlds-bucket","s3-prod-opensol","26.0199","2026-05-20"
"s3-qnbwise-bucket-v2","s3-test-opensol","7.3122","2026-05-20"
"s3-drc-bucket","s3-drc-namespace","0","2026-05-20"
"s3-test-migration-bucket","s3-test-namespace","2849.359","2026-05-20"
"s3-prod-bucket","s3-prod-namespace","850253.1905","2026-05-20"
"s3-advcluster-bucket","s3-prod-opensol","542.3117","2026-05-20"
"bucket-s3-test-migration","s3-test-namespace","0","2026-05-20"
