"Lokasyon","Kabinet","PortGroup","Alias","PortWWN","PortCount"
"Istanbul","HW007","PG4","HW007_PG4","28:51:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG4","HW007_PG4","28:81:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG4","HW007_PG4","29:31:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG4","HW007_PG4","29:61:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG4","HW007_PG4","28:51:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG4","HW007_PG4","28:81:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG4","HW007_PG4","29:31:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG4","HW007_PG4","29:61:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG1","HW007_PG1","28:10:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG1","HW007_PG1","28:c0:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG1","HW007_PG1","28:f0:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG1","HW007_PG1","29:a0:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG1","HW007_PG1","28:10:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG1","HW007_PG1","28:c0:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG1","HW007_PG1","28:f0:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG1","HW007_PG1","29:a0:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","28:21:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","28:b1:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","29:01:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","29:91:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","28:21:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","28:b1:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","29:01:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG5_GEN8586","HW007_PG5_GEN8586","29:91:cc:bc:e3:01:6d:f8","8"
"Istanbul","HW007","PG6_GEN8586","HW007_PG6_GEN8586","28:11:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG6_GEN8586","HW007_PG6_GEN8586","28:c1:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG6_GEN8586","HW007_PG6_GEN8586","28:f1:cc:bc:e3:01:6d:fe","8"
"Istanbul","HW007","PG6_GEN8586","HW007_PG6_GEN8586","29:a1:cc:bc:e3:01:6d:fe","8"
