"Lokasyon","Kabinet","Policy Adi","LUN / Obje","Host","Periyot","Saklama","Durum","Tip"
"Istanbul","HW007","SWPRDGW0102","SWPRDGW0102","","-","-","Pasif","LUN"
"Istanbul","HW007","SWPRDAPP0102","SWPRDAPP0102","","-","-","Pasif","LUN"
"Istanbul","HW007","PG_FFPRDDB0304","PG_FFPRDDB0304","","-","-","Pasif","LUN"
"Istanbul","HW007","MBPRDCLN05","MBPRDCLN05","","-","-","Pasif","LUN"
"Istanbul","HW007","FBPRDVM","FBPRDVM","","-","-","Pasif","LUN"
"Istanbul","HW007","FBPRDVM_VIP","FBPRDVM_VIP","","-","-","Pasif","LUN"
"Istanbul","HW005","SWPRDAPP0102","SWPRDAPP0102","","-","-","Pasif","LUN"
"Istanbul","HW005","SWPRDGW0102","SWPRDGW0102","","-","-","Pasif","LUN"
"Istanbul","HW005","YNPRDCLN03","YNPRDCLN03","","-","-","Pasif","LUN"
"Istanbul","HW005","FBPRDVM_VIP","FBPRDVM_VIP","","-","-","Pasif","LUN"
"Istanbul","HW004","cbprdarc01_3days_1200","cbprdarc01_3days_1200","","-","-","Pasif","LUN"
"Istanbul","HW004","nbuprdmst01_new","nbuprdmst01_new","","-","-","Pasif","LUN"
"Istanbul","HW004","NAS_DEFAULT_BUILDIN","NAS_DEFAULT_BUILDIN","","-","-","Pasif","LUN"
"Istanbul","HW004","odprdrac_snap","odprdrac_snap","","-","-","Pasif","LUN"
"Istanbul","HW004","ods_10min","ods_10min","","-","-","Pasif","LUN"
"Istanbul","HW002","cbprdarc01_3days_0800","cbprdarc01_3days_0800","","-","-","Pasif","LUN"
"Istanbul","HW002","NAS_DEFAULT_BUILDIN","NAS_DEFAULT_BUILDIN","","-","-","Pasif","LUN"
"Istanbul","HW002","uygjgjg","uygjgjg","","-","-","Pasif","LUN"
"Istanbul","HW002","swtstapp5152","swtstapp5152","","-","-","Pasif","LUN"
"Istanbul","HW005_DE39","CBPRDARC05","CBPRDARC05","","-","-","Pasif","LUN"
"Ankara","HW001","stoprdapp06","stoprdapp06","","-","-","Pasif","LUN"
"Ankara","HW001","NAS_DEFAULT_BUILDIN","NAS_DEFAULT_BUILDIN","","-","-","Pasif","LUN"
"Ankara","HW001","NBUDRCMST02","NBUDRCMST02","","-","-","Pasif","LUN"
"Ankara","HW005","NAS_DEFAULT_BUILDIN","NAS_DEFAULT_BUILDIN","","-","-","Pasif","LUN"
"Ankara","HW005","HSTDRCDB03","HSTDRCDB03","","-","-","Pasif","LUN"
