"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","HW007","10.81.164.37","1190.16","328.71","1587.94","861.45","27.62","3.28:1","117","Linux: 14 | Windows: 14 | VMware ESX: 61 | AIX: 28","6.1.8.SPH5"
"Istanbul","HW005","10.81.164.39","1190.16","461.16","2569.84","729","38.75","3.21:1","112","Linux: 14 | Windows: 16 | VMware ESX: 49 | AIX: 33","6.1.8.SPH5"
"Istanbul","HW004","10.81.165.96","1642.84","751.41","2507.96","891.43","45.74","3.25:1","38","Linux: 16 | VMware ESX: 3 | AIX: 19","6.1.6.SPH51"
"Istanbul","HW002","10.81.165.68","1642.84","621.32","2373.4","1021.52","37.82","3.26:1","103","Linux: 17 | Windows: 4 | VMware ESX: 60 | AIX: 22","6.1.6.SPH51"
"Istanbul","HW005_DE39","10.81.164.190","1690.6","370.54","1594.27","1320.06","21.92","3.26:1","33","Linux: 6 | Windows: 9 | VMware ESX: 8 | AIX: 10","6.1.8.SPH36"
"Istanbul","HW001_AT32","10.81.165.4","1690.6","172.28","1043.74","1518.32","10.19","3.22:1","73","Linux: 12 | Windows: 11 | VMware ESX: 23 | AIX: 27","6.1.8.SPH36"
"Istanbul","HW005_AT37","10.81.165.143","1690.6","151.84","822.02","1538.76","8.98","3.27:1","37","Linux: 5 | Windows: 2 | VMware ESX: 9 | AIX: 21","6.1.8.SPH36"
"IBTech","HW005_IBT","10.131.9.62","164.28","15.02","83","149.26","9.14","2.8:1","3","VMware ESX: 3","6.1.6.SPH50"
"Ankara","HW001","10.25.166.137","1642.84","938.63","3623.66","704.21","57.13","3.26:1","157","Linux: 17 | Windows: 13 | VMware ESX: 83 | AIX: 44","6.1.6.SPH51"
"Ankara","HW005","10.25.166.213","1642.84","1030.48","4209.71","612.36","62.73","3.26:1","105","Linux: 15 | Windows: 22 | VMware ESX: 5 | AIX: 63","6.1.6.SPH51"
"Ankara","HW001_SOL5","10.25.166.128","1595.22","277.27","2293.82","1317.95","17.38","3.25:1","135","Linux: 25 | VMware ESX: 87 | AIX: 23","6.1.8.SPH36"
"Ankara","HW002_SOL5","10.25.166.130","1595.22","395.06","2553.6","1200.16","24.77","3.23:1","149","Windows: 8 | Linux: 17 | VMware ESX: 90 | AIX: 34","6.1.8.SPH36"
"---","TOPLAM ANKARA","","6476.12","2641.44","12680.79","3834.68","40.79","","","",""
"---","TOPLAM IBTECH","","164.28","15.02","83","149.26","9.14","","","",""
"---","TOPLAM ISTANBUL","","10737.8","2857.26","12499.17","7880.54","26.61","","","",""
"===","GENEL TOPLAM","","17378.2","5513.72","25262.96","11864.48","31.73","","","",""
