"Lokasyon","Kabinet","SVM","State","Protocols"
"Istanbul","UMR_CLS","testtt","running","NFS | FCP"
"Istanbul","UMR_CLS","ENPARA_TEST","stopped",""
"Istanbul","UMR_CLS","WSXFLSPRDNAS01","running","CIFS"
"Istanbul","UMR_CLS","Telekom_test","running","NFS"
"Istanbul","UMR_CLS","VDIPRDNAS01","running","CIFS | NFS"
"Istanbul","UMR_CLS","CBTSTAPP_EMRG","running","NFS"
"Istanbul","UMR_CLS","CRM_ONLINE","running","NFS"
"Istanbul","UMR_CLS","SAN","running","FCP"
"Istanbul","UMR_CLS","nasprdosk","running","CIFS"
"Istanbul","UMR_CLS","GENERIC_TEST","running","CIFS | NFS"
"Istanbul","UMR_CLS","RHEV","stopped",""
"Istanbul","UMR_CLS","PSTNASARC01","running","CIFS"
"Istanbul","UMR_CLS","fsnasout01","running","CIFS | NFS"
"Istanbul","UMR_CLS","fsnasuom02","running","CIFS"
"Istanbul","UMR_CLS","FinansFaktoring_Prod","running","NFS"
"Istanbul","UMR_CLS","ENPARATEST","stopped",""
"Istanbul","UMR_CLS","FSPRDINFRA","running","CIFS | NFS"
"Istanbul","UMR_CLS","E-FINANS","running","NFS | FCP"
"Istanbul","UMR_CLS","botprdzmapp","running","CIFS | NFS"
"Istanbul","UMR_CLS","INFRA_Preprod","running","CIFS"
"Istanbul","UMR_CLS","KOS_PROD","running","CIFS | NFS"
"Istanbul","UMR_CLS","GENERIC_PROD","running","CIFS | NFS"
"Istanbul","UMR_CLS","EXT_81195_3th","running","CIFS | NFS"
"Istanbul","UMR_CLS","HEMENAL_PROD_EMGR","running","NFS"
"Istanbul","UMR_CLS","HEMENAL_TEST","running","NFS"
"Istanbul","UMR_CLS","E-FINANS_TEST","running","NFS"
"Istanbul","UMR_CLS","EXT_DMZSOURCE","running","CIFS | NFS"
"Istanbul","UMR_CLS","nfsv4_test","running","NFS"
"Istanbul","UMR_CLS","fsnasuom03","running","CIFS"
"Istanbul","UMR_CLS","Ansible_Test","running","NFS"
"Istanbul","UMR_CLS","CBPRDAPP_EMRG","running","NFS"
"Istanbul","UMR_CLS","SRPRDAPP01","running","CIFS"
"Istanbul","UMR_CLS","EXT_817","running","CIFS | NFS"
"Istanbul","UMR_CLS","kep_prod","running","NFS"
"Istanbul","UMR_CLS","fsnasinfsrc01","running","CIFS"
"Istanbul","UMR_CLS","Fileserver","running","CIFS"
"Istanbul","UMR_CLS","EXT_DMZBACKUP","running","CIFS | NFS"
"Istanbul","UMR_CLS","HEMENAL_PROD","running","NFS"
"Istanbul","UMR_CLS","CIGNA","running","CIFS | NFS"
"Istanbul","UMR_CLS","fsnasuom01","running","CIFS"
"Istanbul","UMR_CLS","DMZ_TEST","running","NFS"
"Istanbul","UMR_CLS","DEPOT","running","CIFS | NFS"
"Istanbul","UMR_CLS","nasprdcnice","running","CIFS | NFS"
"Istanbul","UMR_CLS","nasprdnice","running","CIFS"
"Istanbul","UMR_CLS","CBPRDAPP","running","CIFS | NFS"
"Istanbul","UMR_CLS","POC","running","CIFS | NFS"
"Istanbul","UMR_CLS","fsnasen01","running","CIFS | NFS"
"Istanbul","UMR_CLS","CIGNA_CALL_RECORD","running","CIFS | NFS"
"Istanbul","UMR_CLS","GENERIC_DMZ","running","CIFS | NFS"
"Istanbul","UMR_CLS","DMZDeneme","running",""
"Istanbul","UMR_CLS","fsnasuom04","running","CIFS"
"Istanbul","UMR_CLS","FinansLeasing","running","CIFS | NFS"
"Istanbul","UMR_CLS","BNXINFPRDFLS01","running","CIFS | NFS"
"Istanbul","UMR_CLS","INFRA_Test","running","CIFS"
"Istanbul","UMR_CLS","SnapLock","running",""
"Istanbul","UMR_CLS","EntVault","running","CIFS"
"Istanbul","UMR_CLS","OUTNASFS01","running","CIFS"
"Istanbul","UMR_CLS","PRE-PROD","running","NFS"
"Istanbul","UMR_CLS","test_storage","stopped",""
"Istanbul","UMR_CLS","IBMTSM","running","CIFS | NFS"
"Istanbul","UMR_CLS","FinansFaktoring","running","NFS"
"Istanbul","UMR_CLS","OCP_DMZ","running","NFS"
"Istanbul","UOM_AFF_CLS_01","vserver_ldaps-mc","stopped",""
"Istanbul","UOM_AFF_CLS_01","abc-mc","stopped",""
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","running","CIFS | NFS"
"Istanbul","UOM_AFF_CLS_01","OCP_DMZ","running","NFS"
"Istanbul","UOM_AFF_CLS_01","FC_vs","running","FCP"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_test_printing","running","CIFS | NFS"
"Istanbul","UOM_AFF_CLS_01","GENERIC_PROD","running","NFS"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_session-mc","stopped",""
"Istanbul","UOM_AFF_CLS_01","FC_vs_cls02-mc","stopped",""
"Istanbul","UOM_AFF_CLS_01","test","running","CIFS | NFS"
"Istanbul","UOM_AFF_CLS_02","vserver_ldaps","running","CIFS"
"Istanbul","UOM_AFF_CLS_02","abc","running","NFS"
"Istanbul","UOM_AFF_CLS_02","cbprdapp_printing_prod-mc","stopped",""
"Istanbul","UOM_AFF_CLS_02","OCP_DMZ-mc","stopped",""
"Istanbul","UOM_AFF_CLS_02","FC_vs-mc","stopped",""
"Istanbul","UOM_AFF_CLS_02","cbprdapp_test_printing-mc","stopped",""
"Istanbul","UOM_AFF_CLS_02","GENERIC_PROD-mc","stopped",""
"Istanbul","UOM_AFF_CLS_02","cbprdapp_session","running","CIFS | NFS"
"Istanbul","UOM_AFF_CLS_02","FC_vs_cls02","running","FCP"
"Istanbul","UOM_AFF_CLS_02","test-mc","stopped",""
"Ankara","ANK_CLS","GENERIC_DEVTEST","running","CIFS | NFS"
"Ankara","ANK_CLS","EDW","running","CIFS | NFS"
"Ankara","ANK_CLS","fsnasdrc01","running","CIFS"
"Ankara","ANK_CLS","nasprdcnice_drc","running","CIFS"
"Ankara","ANK_CLS","cbdrcapp_out","running","NFS"
"Ankara","ANK_CLS","DEPOT","running","CIFS | NFS"
"Ankara","ANK_CLS","GENERIC_DRC","running","CIFS | NFS"
"Ankara","ANK_CLS","stress_drc","running","NFS"
"Ankara","ANK_CLS","FinansLeasing","running","CIFS | NFS"
"Ankara","ANK_CLS","FSDRCINFRA","running","CIFS | NFS"
"Ankara","ANK_CLS","Ansible_Test-DRC","running","NFS"
"Ankara","ANK_CLS","nasprdosk_drc","running","CIFS | NFS"
"Ankara","ANK_CLS","CIGNA_DRC","running","NFS"
"Ankara","ANK_CLS","nasprdnice_drc","running","CIFS"
"Ankara","ANK_CLS","vserver_ldaps","running","CIFS | NFS"
"Ankara","ANK_CLS","IBMTSM_DRC","running","CIFS"
"Ankara","ANK_CLS","GENERIC_DMZ_DRC","running","CIFS | NFS"
"Ankara","ANK_CLS","botprdzmapp_drc","running","CIFS | NFS"
"Ankara","ANK_CLS","E-FINANS-DRC","running","NFS"
"Ankara","ANK_CLS","EV_drc","running","CIFS"
"Ankara","ANK_CLS","FB-CORETEST","running","CIFS | NFS"
"Ankara","ANK_CLS","HEMENAL_DRC","running","NFS"
"Ankara","ANK_CLS","WORM","running","NFS"
"Ankara","ANK_CLS","SAN_DRC","running","FCP"
"Ankara","ANK_AFF_CLS_01","svm_test2-mc","stopped",""
"Ankara","ANK_AFF_CLS_01","CORE_SESSION-mc","stopped",""
"Ankara","ANK_AFF_CLS_01","GENERIC_AFF2-mc","stopped",""
"Ankara","ANK_AFF_CLS_01","GENERIC_AFF1","running","CIFS | NFS"
"Ankara","ANK_AFF_CLS_01","vserver_ldaps","running","CIFS | NFS"
"Ankara","ANK_AFF_CLS_01","CORE_PRINTING","running","NFS"
"Ankara","ANK_AFF_CLS_01","backuptest","running","NFS"
