"Lokasyon","Kabinet","Policy Adi","LUN / Obje","Host","Periyot","Saklama","Durum","Tip"
"Istanbul","UMR_CLS","default","vol_fb_kep_test","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_vol_chatbot_prod","nasprdosk","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_ifmprdpwc0102","CBPRDAPP","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","nfsv4test","nfsv4_test","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","OCP_DMZ_root","OCP_DMZ","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_bdpprdmst","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_sfdprdmq01","nfsv4_test","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","nasprdvideo2","botprdzmapp","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_depot_sysmonitoring","DEPOT","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_insights_test","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_fraud_sasmeta_dev","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_cbottstauditlog","GENERIC_TEST","1 gun","1 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_fbdefter_test_archive_tr","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_solaris_sanal","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_fleprddgwapp","FinansLeasing","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_EnparaOutput_clone_260924","fsnasen01","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_fletstdgwapp","FinansLeasing","1 gun","1 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_fraud_sasshare","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","nasprdvideo","botprdzmapp","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_openshift01","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_fbdefter_test_tr","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","monthly_7am","vol_fbdefter_prod_archive","GENERIC_PROD","1 ay","3 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_efinans_edefter_prod","E-FINANS","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_audit_fsnasuom02","fsnasuom02","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_arttstapp_shared","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_sfm_sasdepot","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_paragon_prod","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","nasprdvideo3","botprdzmapp","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_cbtstftm_entftm","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","WSXFLSPRDNAS01_root","WSXFLSPRDNAS01","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_smsEkstre_test_tr","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","ENPARA_TEST_root","ENPARA_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_AV_audit","EXT_DMZSOURCE","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_hpsa","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_ocpprdwise10_rwm","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_prometiaALM_prod","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_metadefender_test","GENERIC_TEST","1 gun","1 kopya","Aktif","NetApp"
