"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-21","Istanbul","000220201230","stoprdapp04","1005.26","231.24","2062.51","774.02","23","4.1:1","29","Linux: 1 | VMware ESX: 16 | Unknown: 4 | AIX: 8",""
"2026-05-21","Istanbul","000220201231","stoprdapp04","1005.26","210.69","2460.95","794.57","20.96","4.6:1","25","Linux: 1 | VMware ESX: 12 | Unknown: 4 | AIX: 8",""
"2026-05-21","Istanbul","000297600649","stoprdapp04","586.8","371.97","1581","214.83","63.39","3.3:1","55","Unknown: 12 | Linux: 2 | VMware ESX: 12 | Windows: 14 | AIX: 15",""
"2026-05-21","Istanbul","000297700507","stoprdapp04","766.4","246.58","538.21","519.82","32.17","2.5:1","37","Unknown: 10 | Windows: 1 | VMware ESX: 15 | Linux: 4 | AIX: 7",""
"2026-05-21","Ankara","000220201232","stodrcapp02","1005.26","157.75","1307.33","847.51","15.69","3.8:1","9","VMware ESX: 5 | Unknown: 2 | AIX: 2",""
"2026-05-21","Ankara","000297601651","stodrcapp02","489","233.78","1097.35","255.22","47.81","3:1","25","AIX: 10 | VMware ESX: 5 | Unknown: 7 | Windows: 3",""
"2026-05-21","Ankara","000297601653","stodrcapp02","489","335.56","1227.8","153.44","68.62","2.8:1","9","VMware ESX: 5 | Unknown: 4",""
"2026-05-21","Kos","000297600630","stoprdapp05","47.73","40.03","162.1","7.7","83.87","4.6:1","15","Linux: 2 | VMware ESX: 7 | Unknown: 1 | AIX: 5",""
"2026-05-21","Kos","000297600631","stoprdapp05","195.6","162.27","529.26","33.33","82.96","2.7:1","37","Unknown: 4 | Windows: 2 | VMware ESX: 17 | Linux: 2 | AIX: 12",""
"2026-05-21","---","TOPLAM ANKARA","","1983.26","727.09","3632.48","1256.17","36.66","","","",""
"2026-05-21","---","TOPLAM ISTANBUL","","3363.72","1060.48","6642.67","2303.24","31.53","","","",""
"2026-05-21","---","TOPLAM KOS","","243.33","202.3","691.36","41.03","83.14","","","",""
"2026-05-21","===","GENEL TOPLAM","","5590.31","1989.87","10966.51","3600.44","35.59","","","",""
