"Lokasyon","Kabinet","PortGroup","Alias","PortWWN","PortCount"
"Istanbul","000220201230","CORE_PG1","000220201230_CORE_PG1","","0"
"Istanbul","000220201230","CORE_PG2","000220201230_CORE_PG2","","0"
"Istanbul","000220201230","CORE_PG3","000220201230_CORE_PG3","","0"
"Istanbul","000220201230","CORE_PG4","000220201230_CORE_PG4","","0"
"Istanbul","000220201230","GEN_PG1","000220201230_GEN_PG1","","0"
"Istanbul","000220201230","GEN_PG2","000220201230_GEN_PG2","","0"
"Istanbul","000220201230","PG_GK","000220201230_PG_GK","","0"
"Istanbul","000220201230","RAC8586_PG1","000220201230_RAC8586_PG1","","0"
"Istanbul","000220201230","RAC8586_PG2","000220201230_RAC8586_PG2","","0"
"Istanbul","000220201231","CORE_PG1","000220201231_CORE_PG1","","0"
"Istanbul","000220201231","CORE_PG2","000220201231_CORE_PG2","","0"
"Istanbul","000220201231","CORE_PG3","000220201231_CORE_PG3","","0"
"Istanbul","000220201231","CORE_PG4","000220201231_CORE_PG4","","0"
"Istanbul","000220201231","GEN_PG1","000220201231_GEN_PG1","","0"
"Istanbul","000220201231","GEN_PG2","000220201231_GEN_PG2","","0"
"Istanbul","000220201231","PG_GK","000220201231_PG_GK","","0"
"Istanbul","000220201231","RAC8586_PG1","000220201231_RAC8586_PG1","","0"
"Istanbul","000220201231","RAC8586_PG2","000220201231_RAC8586_PG2","","0"
"Istanbul","000297600649","PG1_CORE_IG1","000297600649_PG1_CORE_IG1","","0"
"Istanbul","000297600649","PG2_CORE_IG1","000297600649_PG2_CORE_IG1","","0"
"Istanbul","000297600649","PG3_8P","000297600649_PG3_8P","","0"
"Istanbul","000297600649","PG3_CORE_IG2","000297600649_PG3_CORE_IG2","","0"
"Istanbul","000297600649","PG4_CORE_IG2","000297600649_PG4_CORE_IG2","","0"
"Istanbul","000297600649","PG_1","000297600649_PG_1","","0"
"Istanbul","000297600649","PG_2","000297600649_PG_2","","0"
"Istanbul","000297600649","PG_3","000297600649_PG_3","","0"
"Istanbul","000297600649","PG_4","000297600649_PG_4","","0"
"Istanbul","000297600649","PG_5","000297600649_PG_5","","0"
"Istanbul","000297600649","pg_GK","000297600649_pg_GK","","0"
"Istanbul","000297600649","PG_TEST","000297600649_PG_TEST","","0"
"Istanbul","000297600649","PG_TEST2","000297600649_PG_TEST2","","0"
"Istanbul","000297700507","PG_1","000297700507_PG_1","","0"
"Istanbul","000297700507","PG_2","000297700507_PG_2","","0"
"Istanbul","000297700507","PG_3","000297700507_PG_3","","0"
"Istanbul","000297700507","PG_4","000297700507_PG_4","","0"
"Istanbul","000297700507","PG_5","000297700507_PG_5","","0"
"Istanbul","000297700507","PG_6","000297700507_PG_6","","0"
"Istanbul","000297700507","PG_CORE","000297700507_PG_CORE","","0"
"Istanbul","000297700507","PG_GK","000297700507_PG_GK","","0"
"Istanbul","000297700507","sg_stotstapp02_ICL_PG","000297700507_sg_stotstapp02_ICL_PG","","0"
"Istanbul","000297700507","testttttt","000297700507_testttttt","","0"
"Ankara","000220201232","CORE_PG1","000220201232_CORE_PG1","","0"
"Ankara","000220201232","CORE_PG2","000220201232_CORE_PG2","","0"
"Ankara","000220201232","CORE_PG3","000220201232_CORE_PG3","","0"
"Ankara","000220201232","CORE_PG4","000220201232_CORE_PG4","","0"
"Ankara","000220201232","KK_PG1","000220201232_KK_PG1","","0"
"Ankara","000220201232","PG_GK","000220201232_PG_GK","","0"
"Ankara","000297601651","PG_6","000297601651_PG_6","","0"
"Ankara","000297601651","pg_core_pg1","000297601651_pg_core_pg1","","0"
"Ankara","000297601651","pg_core_pg2","000297601651_pg_core_pg2","","0"
"Ankara","000297601651","pg_core_pg3","000297601651_pg_core_pg3","","0"
"Ankara","000297601651","pg_core_pg4","000297601651_pg_core_pg4","","0"
"Ankara","000297601651","pg_gk","000297601651_pg_gk","","0"
"Ankara","000297601651","pg_kos_pg5_pg6","000297601651_pg_kos_pg5_pg6","","0"
"Ankara","000297601651","pg_srdf_pg7","000297601651_pg_srdf_pg7","","0"
"Ankara","000297601651","pg_srdf_pg8","000297601651_pg_srdf_pg8","","0"
"Ankara","000297601651","pg_test_1","000297601651_pg_test_1","","0"
"Ankara","000297601651","pg_test_2","000297601651_pg_test_2","","0"
"Ankara","000297601651","pg_test_3","000297601651_pg_test_3","","0"
"Ankara","000297601651","pg_test_4","000297601651_pg_test_4","","0"
"Ankara","000297601653","pg_core_pg1","000297601653_pg_core_pg1","","0"
"Ankara","000297601653","pg_core_pg2","000297601653_pg_core_pg2","","0"
"Ankara","000297601653","pg_core_pg3","000297601653_pg_core_pg3","","0"
"Ankara","000297601653","pg_core_pg4","000297601653_pg_core_pg4","","0"
"Ankara","000297601653","pg_gk","000297601653_pg_gk","","0"
"Ankara","000297601653","pg_kos_pg5_pg6","000297601653_pg_kos_pg5_pg6","","0"
"Ankara","000297601653","pg_srdf_pg7","000297601653_pg_srdf_pg7","","0"
"Ankara","000297601653","pg_srdf_pg8","000297601653_pg_srdf_pg8","","0"
"Ankara","000297601653","pg_test_1","000297601653_pg_test_1","","0"
"Ankara","000297601653","pg_test_2","000297601653_pg_test_2","","0"
"Ankara","000297601653","pg_test_3","000297601653_pg_test_3","","0"
"Ankara","000297601653","pg_test_4","000297601653_pg_test_4","","0"
"Kos","000297600630","pg_GK","000297600630_pg_GK","","0"
"Kos","000297600630","PG_KK","000297600630_PG_KK","","0"
"Kos","000297600630","PG_OTHER","000297600630_PG_OTHER","","0"
"Kos","000297600631","PG_1","000297600631_PG_1","","0"
"Kos","000297600631","PG_2","000297600631_PG_2","","0"
"Kos","000297600631","pg_GK","000297600631_pg_GK","","0"
