"Tarih","Lokasyon","Kabinet","Lun Group Name","Total Capacity (TB)","LUN Count"
"2026-05-20","Istanbul","000220201230","sg_stoprdapp06_gk","0","6"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_4","100.38","31"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_4_redo","0.38","6"
"2026-05-20","Istanbul","000220201230","sg_fbprdesx_gk","0","12"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_1_redo","0.38","6"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_1","100.38","31"
"2026-05-20","Istanbul","000220201230","sg_genprdrac01","4.77","10"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac01_os","2.57","7"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_1_asm","100","25"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_snap","418.33","164"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac03_os","2.57","7"
"2026-05-20","Istanbul","000220201230","sg_cbsimrac01","0.29","1"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_os_shared","6.53","12"
"2026-05-20","Istanbul","000220201230","sg_genprdrac_asm_01","200.03","52"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_2_redo","0.38","6"
"2026-05-20","Istanbul","000220201230","sg_genprdrac02","4.77","10"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac04_os","2.57","7"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_3_asm","100","25"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac02_os","2.57","7"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_2","100.38","31"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_3","100.38","31"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_2_asm","100","25"
"2026-05-20","Istanbul","000220201230","sg_cbsimrac04","0.29","1"
"2026-05-20","Istanbul","000220201230","sg_cbtstrac_vote","0.03","2"
"2026-05-20","Istanbul","000220201230","sg_cbsimrac03","0.29","1"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_4_asm","100","25"
"2026-05-20","Istanbul","000220201230","sg_cbprdrac_3_redo","0.38","6"
"2026-05-20","Istanbul","000220201230","sg_genprdrac_asm_02","202","52"
"2026-05-20","Istanbul","000220201230","sg_cbsimrac02","0.29","1"
"2026-05-20","Istanbul","000220201230","sg_genprdrac_snap","411.57","124"
"2026-05-20","Istanbul","000220201231","sg_genprdrac01_os","4.77","10"
"2026-05-20","Istanbul","000220201231","sg_stoprdapp06_gk","0","6"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_4","100.38","31"
"2026-05-20","Istanbul","000220201231","sg_fbprdesx_gk","0","12"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_1_redo","0.38","6"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_1","100.38","31"
"2026-05-20","Istanbul","000220201231","sg_genprdrac01","3.77","8"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac01_os","1.57","5"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_vote","0.03","2"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_1_asm","100","25"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_snap","414.33","156"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac03_os","1.57","5"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_os_shared","6.53","12"
"2026-05-20","Istanbul","000220201231","sg_genprdrac0102_asm_02","202","52"
"2026-05-20","Istanbul","000220201231","sg_genprdrac_asm_01","200.03","52"
"2026-05-20","Istanbul","000220201231","sg_genprdrac_snap","409.57","120"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_2_redo","0.38","6"
"2026-05-20","Istanbul","000220201231","sg_genprdrac02","3.77","8"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac04_os","1.57","5"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_3_asm","100","25"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac02_os","1.57","5"
"2026-05-20","Istanbul","000220201231","sg_cbprdrac_2","100.38","31"
