"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","000220201230","stoprdapp04","1005.26","240.7","2062.51","764.56","23.94","4:1","29","Linux: 1 | VMware ESX: 16 | Unknown: 4 | AIX: 8",""
"Istanbul","000220201231","stoprdapp04","1005.26","210.73","2460.95","794.53","20.96","4.6:1","25","Linux: 1 | VMware ESX: 12 | Unknown: 4 | AIX: 8",""
"Istanbul","000297600649","stoprdapp04","586.8","370.71","1581","216.09","63.17","3.3:1","55","Unknown: 12 | Linux: 2 | VMware ESX: 12 | Windows: 14 | AIX: 15",""
"Istanbul","000297700507","stoprdapp04","766.4","245.43","538.21","520.97","32.02","2.5:1","37","Unknown: 10 | Windows: 1 | VMware ESX: 15 | Linux: 4 | AIX: 7",""
"Ankara","000220201232","stodrcapp02","1005.26","161.62","1307.33","843.64","16.08","3.8:1","9","VMware ESX: 5 | Unknown: 2 | AIX: 2",""
"Ankara","000297601651","stodrcapp02","489","226.98","1097.35","262.02","46.42","3.1:1","25","AIX: 10 | VMware ESX: 5 | Unknown: 7 | Windows: 3",""
"Ankara","000297601653","stodrcapp02","489","336.59","1227.8","152.41","68.83","2.8:1","9","VMware ESX: 5 | Unknown: 4",""
"Kos","000297600630","stoprdapp05","47.73","40.01","162.1","7.72","83.83","4.7:1","15","Linux: 2 | VMware ESX: 7 | Unknown: 1 | AIX: 5",""
"Kos","000297600631","stoprdapp05","195.6","161.73","529.26","33.87","82.68","2.7:1","37","Unknown: 4 | Windows: 2 | VMware ESX: 17 | Linux: 2 | AIX: 12",""
"---","TOPLAM ANKARA","","1983.26","725.19","3632.48","1258.07","36.57","","","",""
"---","TOPLAM ISTANBUL","","3363.72","1067.57","6642.67","2296.15","31.74","","","",""
"---","TOPLAM KOS","","243.33","201.74","691.36","41.59","82.91","","","",""
"===","GENEL TOPLAM","","5590.31","1994.5","10966.51","3595.81","35.68","","","",""
