"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-20","Istanbul","000220201230","stoprdapp04","1005.26","230.19","2062.51","775.07","22.9","4.1:1","29","Linux: 1 | VMware ESX: 16 | Unknown: 4 | AIX: 8",""
"2026-05-20","Istanbul","000220201231","stoprdapp04","1005.26","210.69","2460.95","794.57","20.96","4.6:1","25","Linux: 1 | VMware ESX: 12 | Unknown: 4 | AIX: 8",""
"2026-05-20","Istanbul","000297600649","stoprdapp04","586.8","373.22","1581","213.58","63.6","3.3:1","55","Unknown: 12 | Linux: 2 | VMware ESX: 12 | Windows: 14 | AIX: 15",""
"2026-05-20","Istanbul","000297700507","stoprdapp04","766.4","246.43","538.21","519.97","32.15","2.5:1","37","Unknown: 10 | Windows: 1 | VMware ESX: 15 | Linux: 4 | AIX: 7",""
"2026-05-20","Ankara","000220201232","stodrcapp02","1005.26","157.79","1307.33","847.47","15.7","3.8:1","9","VMware ESX: 5 | Unknown: 2 | AIX: 2",""
"2026-05-20","Ankara","000297601651","stodrcapp02","489","233.75","1097.35","255.25","47.8","3:1","25","AIX: 10 | VMware ESX: 5 | Unknown: 7 | Windows: 3",""
"2026-05-20","Ankara","000297601653","stodrcapp02","489","337.29","1227.8","151.71","68.98","2.8:1","9","VMware ESX: 5 | Unknown: 4",""
"2026-05-20","Kos","000297600630","stoprdapp05","47.73","40.01","162.1","7.72","83.83","4.6:1","15","Linux: 2 | VMware ESX: 7 | Unknown: 1 | AIX: 5",""
"2026-05-20","Kos","000297600631","stoprdapp05","195.6","162.49","529.26","33.11","83.07","2.7:1","37","Unknown: 4 | Windows: 2 | VMware ESX: 17 | Linux: 2 | AIX: 12",""
"2026-05-20","---","TOPLAM ANKARA","","1983.26","728.83","3632.48","1254.43","36.75","","","",""
"2026-05-20","---","TOPLAM ISTANBUL","","3363.72","1060.53","6642.67","2303.19","31.53","","","",""
"2026-05-20","---","TOPLAM KOS","","243.33","202.5","691.36","40.83","83.22","","","",""
"2026-05-20","===","GENEL TOPLAM","","5590.31","1991.86","10966.51","3598.45","35.63","","","",""
