"Lokasyon","Array ID","Host Name","OS","Provisioned (TB)","Host WWN","Masking View","Storage Group"
"Istanbul","000220201230","cbprdrac04_ig1","AIX","54.39","2100f4c7aa050483 | 2100f4c7aa0504a2 | 2100f4c7aa0504a3 | 2100f4c7aa0504b8 | 2100f4c7aa051381 | 2100f4c7aa05d242 | 2100f4c7aa05d243 | 2100f4c7aa05d2f6","mv_cbprdrac04_os; mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac04_os; sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201230","ig_cbsimrac02","VMware ESX","0.29","c0507608d4e800c0 | c0507608d4e800c1 | c0507608d4e800c2 | c0507608d4e800c3 | c0507608d4e800c4 | c0507608d4e800c5 | c0507608d4e800c6 | c0507608d4e800c7 | c0507608d4e800c8 | c0507608d4e800c9 | c0507608d4e800ca | c0507608d4e800cb | c0507608d4e800cc | c0507608d4e800cd | c0507608d4e800ce | c0507608d4e800cf","mv_cbsimrac02","sg_cbsimrac02"
"Istanbul","000220201230","ig_cbtstrac02","Unknown","0.01","2100f4c7aa050ce0 | 2100f4c7aa050ce1 | 2100f4c7aa05106e | 2100f4c7aa05106f","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201230","ig_fbprdesx87","VMware ESX","0","100070b7e424140f | 100070b7e4241458","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","cbprdrac02_ig1","AIX","51.82","100000620b3e2206 | 100000620b3e2207 | 100070b7e413c64b | 100070b7e413c654 | 100070b7e413c655 | 100070b7e413cf97 | 100070b7e413cfdb | 100070b7e413cfdc","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201230","ig_fbprdesx40","VMware ESX","0","51402ec01484291a | 51402ec01484292a","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_cbsimrac03","VMware ESX","0.29","c0507608d4e800d0 | c0507608d4e800d1 | c0507608d4e800d2 | c0507608d4e800d3 | c0507608d4e800d4 | c0507608d4e800d5 | c0507608d4e800d6 | c0507608d4e800d7 | c0507608d4e800d8 | c0507608d4e800d9 | c0507608d4e800da | c0507608d4e800db | c0507608d4e800dc | c0507608d4e800dd | c0507608d4e800de | c0507608d4e800df","mv_cbsimrac03","sg_cbsimrac03"
"Istanbul","000220201230","ig_stoprdapp06_gk","Linux","0","100000620b423b42 | 100000620b424555 | 100000620b42465a | 100000620b42465b | 100000620b42466c | 100000620b42466d","mv_stoprdapp06_gk","sg_stoprdapp06_gk"
"Istanbul","000220201230","ig_fbprdesx86","VMware ESX","0","100070b7e4241276 | 100070b7e42414b7","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_fbprdesx51","VMware ESX","0","10009440c9d49009 | 10009440c9d4900c","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","cbprdrac02_ig2","AIX","52.76","100070b7e413c64c | 100070b7e413cf78 | 100070b7e413cf79 | 100070b7e413cf7e | 100070b7e413cf7f | 100070b7e413cf96 | 100070b7e413cf99 | 100070b7e413cf9a","mv_cbprdrac02_os; mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac02_os; sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201230","cbprdrac01_ig2","AIX","50.19","210034800dee0de2 | 2100f4c7aa04ac84 | 2100f4c7aa04ac85 | 2100f4c7aa04acc6 | 2100f4c7aa04acc7 | 2100f4c7aa04acec | 2100f4c7aa04aced | 2100f4c7aa04ad0f","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
