"Lokasyon","Fabric","SwitchName","PortIndex","PortWWN","Alias","State","Speed"
"Istanbul","A","AI18FC187","0","51:40:2e:c0:12:3f:e2:80","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","1","28:f0:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","2","28:f0:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","4","10:00:5c:ed:8c:55:79:63","0","Online","64G"
"Istanbul","A","AI18FC187","6","10:00:b4:7a:f1:6e:1b:8d","Emulex PPN-10:00:b4:7a:f1:6e:1b:8d","Online","32G"
"Istanbul","A","AI18FC187","8","29:02:cc:bc:e3:01:6d:f8","","Online","32G"
"Istanbul","A","AI18FC187","9","10:00:5c:ed:8c:55:19:fa","Emulex PPN-10:00:5c:ed:8c:55:19:fa","Online","64G"
"Istanbul","A","AI18FC187","10","10:00:b4:7a:f1:6e:18:d5","2","Online","32G"
"Istanbul","A","AI18FC187","11","10:00:94:40:c9:d4:80:f3","Emulex PPN-10:00:94:40:c9:d4:80:f3","Online","32G"
"Istanbul","A","AI18FC187","12","10:00:70:b7:e4:22:86:67","Emulex PPN-10:00:70:b7:e4:22:86:67","Online","64G"
"Istanbul","A","AI18FC187","14","10:00:00:62:0b:43:62:18","Emulex PPN-10:00:00:62:0B:43:62:18","Online","32G"
"Istanbul","A","AI18FC187","15","10:00:94:40:c9:d0:1f:3f","Emulex PPN-10:00:94:40:c9:d0:1f:3f","Online","32G"
"Istanbul","A","AI18FC187","16","51:40:2e:c0:11:08:98:b0","SN1100Q FW:v9.14.00 DVR:v5.4.83.1","Online","16G"
"Istanbul","A","AI18FC187","18","21:00:f4:c7:aa:05:11:6a","","Online","32G"
"Istanbul","A","AI18FC187","19","51:40:2e:c0:12:3f:e2:dc","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","20","10:00:00:62:0b:43:54:2a","Emulex PPN-10:00:00:62:0b:43:54:2a","Online","32G"
"Istanbul","A","AI18FC187","21","28:12:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","22","10:00:94:40:c9:d4:b7:3f","Emulex PPN-10:00:94:40:c9:d4:b7:3f","Online","32G"
"Istanbul","A","AI18FC187","23","51:40:2e:c0:12:3f:e2:a4","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","26","10:00:94:40:c9:d4:97:ea","Emulex PPN-10:00:94:40:c9:d4:97:ea","Online","32G"
"Istanbul","A","AI18FC187","28","10:00:94:40:c9:0f:32:63","Emulex PPN-10:00:94:40:C9:0F:32:63","Online","16G"
"Istanbul","A","AI18FC187","31","10:00:94:40:c9:d4:97:a5","Emulex PPN-10:00:94:40:c9:d4:97:a5","Online","32G"
"Istanbul","A","AI18FC187","33","10:00:94:40:c9:d0:c2:24","0","Online","32G"
"Istanbul","A","AI18FC187","36","51:40:2e:c0:01:82:7e:a8","SN1100Q FW:v9.06.02 DVR:v10.02.07.900-k","Online","16G"
"Istanbul","A","AI18FC187","38","28:52:cc:bc:e3:01:6d:f8","","Online","32G"
"Istanbul","A","AI18FC187","39","10:00:94:40:c9:d0:1b:19","9","Online","32G"
"Istanbul","A","AI18FC187","40","28:c0:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","41","10:00:00:62:0b:42:46:5b","Emulex PPN-10:00:00:62:0B:42:46:5B","Online","64G"
"Istanbul","A","AI18FC187","42","28:c0:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","45","28:f0:60:10:9e:f9:a4:4d","","Online","32G"
"Istanbul","A","AI18FC187","46","28:c0:60:10:9e:f9:a4:4d","","Online","32G"
"Istanbul","A","AI18FC187","47","51:40:2e:c0:12:3f:e1:bc","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","96","28:f0:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","97","10:00:94:40:c9:0f:32:33","Emulex PPN-10:00:94:40:C9:0F:32:33","Online","16G"
"Istanbul","A","AI18FC187","98","10:00:94:40:c9:d0:ff:ae","Emulex PPN-10:00:94:40:c9:d0:ff:ae","Online","32G"
"Istanbul","A","AI18FC187","100","10:00:94:40:c9:d4:97:ba","Emulex PPN-10:00:94:40:c9:d4:97:ba","Online","32G"
"Istanbul","A","AI18FC187","102","28:f0:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","103","51:40:2e:c0:12:cb:1d:44","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","104","10:00:5c:ed:8c:55:89:16","Emulex PPN-10:00:5c:ed:8c:55:89:16","Online","64G"
"Istanbul","A","AI18FC187","105","21:00:f4:c7:aa:05:03:fc","","Online","32G"
"Istanbul","A","AI18FC187","107","10:00:b4:7a:f1:6e:28:4f","1","Online","32G"
"Istanbul","A","AI18FC187","108","10:00:00:62:0b:43:56:57","Emulex PPN-10:00:00:62:0b:43:56:57","Online","32G"
"Istanbul","A","AI18FC187","114","10:00:70:b7:e4:24:30:81","Emulex PPN-10:00:70:b7:e4:24:30:81","Online","64G"
"Istanbul","A","AI18FC187","116","28:c0:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","117","28:b2:cc:bc:e3:01:6d:f8","","Online","32G"
"Istanbul","A","AI18FC187","118","28:c0:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","121","21:00:f4:c7:aa:04:ac:9d","","Online","32G"
"Istanbul","A","AI18FC187","122","10:00:1c:98:ec:09:84:ef","Emulex PPN-10:00:1c:98:ec:09:84:ef","Online","16G"
"Istanbul","A","AI18FC187","123","10:00:5c:ed:8c:55:29:81","Emulex PPN-10:00:5C:ED:8C:55:29:81","Online","64G"
"Istanbul","A","AI18FC187","125","10:00:94:40:c9:d4:d7:d5","Emulex PPN-10:00:94:40:c9:d4:d7:d5","Online","32G"
