"HostName","Location"
"ALOPRDKFK11","PURE-AO37-07B"
"ALOPRDKFK14","PURE-AO37-07B"
"ALOPRDKFK15","PURE-AO37-07B"
"ALOPRDKFK17","PURE-AO37-07B"
"DAPRDCAS05","PURE-AO37-07B"
"ELKPRDDAT04","PURE-AO37-07B"
"ELKPRDDAT07","PURE-AO37-07B"
"ELKPRDDAT08","PURE-AO37-07B"
"FBPRDESX47","PURE-AO37-07B"
"FBPRDESX48","PURE-AO37-07B"
"FBPRDESX49","PURE-AO37-07B"
"FBPRDESX50","PURE-AO37-07B"
"FBPRDESX51","PURE-AO37-07B"
"FBPRDESX52","PURE-AO37-07B"
"FEPRDVM01","PURE-AO37-07B"
"FEPRDVM02","PURE-AO37-07B"
"FEPRDVM03","PURE-AO37-07B"
"FEPRDVM04","PURE-AO37-07B"
"FEPRDVM05","PURE-AO37-07B"
"FEPRDVM06","PURE-AO37-07B"
"FEPRDVM07","PURE-AO37-07B"
"FEPRDVM08","PURE-AO37-07B"
"KFTPRDRAC01","PURE-AO37-07B"
"KFTPRDRAC02","PURE-AO37-07B"
"PGMPRDRAC01","PURE-AO37-07B"
"PGMPRDRAC02","PURE-AO37-07B"
"PSPRDESX07","PURE-AO37-07B"
"PSPRDESX08","PURE-AO37-07B"
"PSPRDESX09","PURE-AO37-07B"
"PSPRDESX19","PURE-AO37-07B"
"PSPRDESX20","PURE-AO37-07B"
"PSPRDESX21","PURE-AO37-07B"
"PSPRDESX22","PURE-AO37-07B"
"SEAPRDRAC01","PURE-AO37-07B"
"SEAPRDRAC02","PURE-AO37-07B"
"SEATSTRAC01","PURE-AO37-07B"
"SEATSTRAC02","PURE-AO37-07B"
"SIMPRDESX01","PURE-AO37-07B"
"SIMPRDESX02","PURE-AO37-07B"
"SIMPRDESX03","PURE-AO37-07B"
"SIMPRDESX04","PURE-AO37-07B"
"SIMPRDESX05","PURE-AO37-07B"
"STOPRDAPP06","PURE-AO37-07B"
"STOTSTAPP03","PURE-AO37-07B"
"SWPRDMGW01","PURE-AO37-07B"
"SWPRDMGW02","PURE-AO37-07B"
"TNGPRDRAC01","PURE-AO37-07B"
"TNGPRDRAC02","PURE-AO37-07B"
"ALOPRDKFK16","PURE-EE18-005"
"ALOPRDKFK18","PURE-EE18-005"
"ALOPRDKFK19","PURE-EE18-005"
"ATLTSTRAC01","PURE-EE18-005"
"ATLTSTRAC02","PURE-EE18-005"
"BDPPRDEDG02","PURE-EE18-005"
"CBDEVDB01","PURE-EE18-005"
"CLWPRDGENGPU1004","PURE-EE18-005"
"CLWPRDGENGPU1101","PURE-EE18-005"
"CLWPRDGENGPU1102","PURE-EE18-005"
"CLWPRDGENGPU1103","PURE-EE18-005"
"CLWPRDGENGPU1104","PURE-EE18-005"
"CSGENMST01","PURE-EE18-005"
"ELKPRDDAT02","PURE-EE18-005"
"ELKPRDDAT06","PURE-EE18-005"
"ELKPRDDAT09","PURE-EE18-005"
"ELKPRDDAT10","PURE-EE18-005"
"ELKPRDDAT12","PURE-EE18-005"
"ELKPRDDAT13","PURE-EE18-005"
"FBPRDESX12","PURE-EE18-005"
"FBPRDESX23","PURE-EE18-005"
"FBPRDESX24","PURE-EE18-005"
"FBPRDESX45","PURE-EE18-005"
"FBPRDESX46","PURE-EE18-005"
"FBPRDESX90","PURE-EE18-005"
"FBPRDESX91","PURE-EE18-005"
"FBPRDESX94","PURE-EE18-005"
"FBPRDESX95","PURE-EE18-005"
"FBPRDESX96","PURE-EE18-005"
"FBPRDVM03","PURE-EE18-005"
"FBPRDVM06","PURE-EE18-005"
"FBPRDVM07","PURE-EE18-005"
"FBPRDVM16","PURE-EE18-005"
"FBPRDVM76","PURE-EE18-005"
"FBPRDVM96","PURE-EE18-005"
"FEAGTPRDDB03","PURE-EE18-005"
"FEAGTPRDDB04","PURE-EE18-005"
"FEGNLPRDDB01","PURE-EE18-005"
"FEPRDVM01","PURE-EE18-005"
"FEPRDVM02","PURE-EE18-005"
"FEPRDVM03","PURE-EE18-005"
"FEPRDVM04","PURE-EE18-005"
"FEPRDVM05","PURE-EE18-005"
"FEPRDVM06","PURE-EE18-005"
"FEPRDVM07","PURE-EE18-005"
"FEPRDVM08","PURE-EE18-005"
"GENTSTRAC01","PURE-EE18-005"
"GENTSTRAC02","PURE-EE18-005"
"INSTAPRDAPP02","PURE-EE18-005"
"KFTPRDRAC01","PURE-EE18-005"
"KFTPRDRAC02","PURE-EE18-005"
"KSAODITSTDB01","PURE-EE18-005"
"KYSTSTDB01","PURE-EE18-005"
"PGMPRDCAS01","PURE-EE18-005"
"PGMPRDCAS02","PURE-EE18-005"
"PGMPRDCAS03","PURE-EE18-005"
"PGMPRDCAS04","PURE-EE18-005"
"PGMPRDCAS05","PURE-EE18-005"
"PGMPRDRAC01","PURE-EE18-005"
"PGMPRDRAC02","PURE-EE18-005"
"PSPRDESX19","PURE-EE18-005"
"PSPRDESX20","PURE-EE18-005"
"PSPRDESX23","PURE-EE18-005"
"PSPRDESX24","PURE-EE18-005"
"PSPRDESX25","PURE-EE18-005"
"PSPRDESX26","PURE-EE18-005"
"PSPRDESX27","PURE-EE18-005"
"PSPRDESX28","PURE-EE18-005"
"PSPRDESX29","PURE-EE18-005"
"PSPRDESX30","PURE-EE18-005"
"PSPRDESX31","PURE-EE18-005"
"PSPRDESX32","PURE-EE18-005"
"PSPRDESX33","PURE-EE18-005"
"PSTSTESX10","PURE-EE18-005"
"PSTSTESX14","PURE-EE18-005"
"PSTSTESX15","PURE-EE18-005"
"PSTSTESX16","PURE-EE18-005"
"PSTSTESX17","PURE-EE18-005"
"PSTSTESX18","PURE-EE18-005"
"SCMPRDDB02","PURE-EE18-005"
"SDTSTDB02","PURE-EE18-005"
"SEAPRDRAC01","PURE-EE18-005"
"SEAPRDRAC02","PURE-EE18-005"
"SEATSTRAC01","PURE-EE18-005"
"SEATSTRAC02","PURE-EE18-005"
"STOTSTAPP04","PURE-EE18-005"
"SWPRDMGW01","PURE-EE18-005"
"SWPRDMGW02","PURE-EE18-005"
"TNGPRDRAC01","PURE-EE18-005"
"TNGPRDRAC02","PURE-EE18-005"
"TRHPRDAPP03","PURE-EE18-005"
"VDIPRDVM06","PURE-EE18-005"
"YTSPRDDB01","PURE-EE18-005"
"ALMPRDCLN01","PURE-DB39-008"
"ALMPRDCLN02","PURE-DB39-008"
"ALOPRDKFK12","PURE-DB39-008"
"BTPRDOPVIRT01","PURE-DB39-008"
"BTPRDOPVIRT02","PURE-DB39-008"
"BTPRDOPVIRT03","PURE-DB39-008"
"CBPRDDB05","PURE-DB39-008"
"CBPRDRARC07","PURE-DB39-008"
"CBTSTDB07","PURE-DB39-008"
"CBTSTDB07NPIV","PURE-DB39-008"
"CBTSTRAC01","PURE-DB39-008"
"CBTSTRAC02","PURE-DB39-008"
"CBTSTRAC03","PURE-DB39-008"
"CBTSTRAC04","PURE-DB39-008"
"ECMPRDRAC03","PURE-DB39-008"
"ECMPRDRAC04","PURE-DB39-008"
"ELKPRDDAT11","PURE-DB39-008"
"FBPRDESX21","PURE-DB39-008"
"FBPRDESX22","PURE-DB39-008"
"FBPRDESX23","PURE-DB39-008"
"FBPRDESX24","PURE-DB39-008"
"FBPRDESX45","PURE-DB39-008"
