"Lokasyon","Kabinet","Lun Group Name","Total Capacity (TB)","LUN Count"
"Istanbul","HW007","LSXPRDRAC0102","0.03","2"
"Istanbul","HW007","CBPRDESI01","4.07","6"
"Istanbul","HW007","YTSPRDDB02","13.72","31"
"Istanbul","HW007","sg_comprdcln03","0.14","2"
"Istanbul","HW007","sg_eprprdcln01","1","1"
"Istanbul","HW007","sg_kkprddb07","75","17"
"Istanbul","HW007","ESRPRDCLN09","2","2"
"Istanbul","HW007","ESRPRDCLN11","2","2"
"Istanbul","HW007","sg_clwtstgengpu1001","3.07","3"
"Istanbul","HW007","sg_clwtstgengpu1002","3.07","3"
"Istanbul","HW007","sg_kysprddb01","4.54","7"
"Istanbul","HW007","sg_genprdrac85_os","1.29","3"
"Istanbul","HW007","sg_genprdrac86_os","1.29","3"
"Istanbul","HW007","sg_genprdrac8586_data_1","144.03","38"
"Istanbul","HW007","sg_genprdrac8586_data_2","128","32"
"Istanbul","HW007","sg_genprdrac8586_log_1","128","32"
"Istanbul","HW007","sg_genprdrac8586_log_2","128","32"
"Istanbul","HW007","sg_evaprdrac0102","0.03","2"
"Istanbul","HW007","ESRPRDCLN13","2","2"
"Istanbul","HW007","INBSESCLN05","9.04","6"
"Istanbul","HW007","PSPRDDB02","2.03","8"
"Istanbul","HW007","ELKPRDDAT15","28.49","8"
"Istanbul","HW007","SWPRDGW01","1.29","3"
"Istanbul","HW007","BNXSWPRDMQ02","0.29","1"
"Istanbul","HW007","BNXSWPRDMQ01","0.29","1"
"Istanbul","HW007","BNXSWPRDMQ0102","0.5","1"
"Istanbul","HW007","TNGTSTRAC01","1.86","5"
"Istanbul","HW007","TNGTSTRAC02","1.86","5"
"Istanbul","HW007","SWPRDGW02","1.59","4"
"Istanbul","HW007","sg_bnxucmprddb04","3.49","7"
"Istanbul","HW007","SWPRDAPP02","0.59","2"
"Istanbul","HW007","SWPRDAPP01","0.59","2"
"Istanbul","HW007","SWPRDAPP0102","3.5","7"
"Istanbul","HW007","sg_cbprdgen02","2.59","6"
"Istanbul","HW007","sg_hceprdrac01","1.27","5"
"Istanbul","HW007","sg_hceprdrac02","1.27","5"
"Istanbul","HW007","sg_hceprdrac0102","2.4","11"
"Istanbul","HW007","TNGTSTRAC0102","2.09","8"
"Istanbul","HW007","CCPRDCLN15","110","16"
"Istanbul","HW007","CLESXPRDGEN01","24.56","3"
"Istanbul","HW007","YNPRDCLN04","163","23"
"Istanbul","HW007","BTPRDLX5859","16","2"
"Istanbul","HW007","sg_enxcbtstrac","0.03","2"
"Istanbul","HW007","sg_enxgentstrac","0.03","2"
"Istanbul","HW007","sg_fbprdvm","76","10"
"Istanbul","HW007","STOPRDAPP06","1","2"
"Istanbul","HW007","sg_mbprdcln05","401","52"
"Istanbul","HW007","FFPRDDB03","5.07","3"
"Istanbul","HW007","FFPRDDB0304","40.89","55"
"Istanbul","HW007","sg_bnxearprdcln01","23","5"
"Istanbul","HW007","sg_bnxearprdcln02","23","5"
"Istanbul","HW007","STOTSTAPP04","1","1"
"Istanbul","HW007","BNXGSCPRDRAC0102","0.03","2"
"Istanbul","HW007","migrationtest","0.01","1"
"Istanbul","HW007","HG_BNXMCMPRDRAC0102","0.03","2"
"Istanbul","HW007","sg_fbprdvm_vip_hm","20","2"
