"Lokasyon","Kabinet","Host Name","OS","Map Durumu","Provisioned (TB)","Host WWN"
"Istanbul","HW007","STOTSTAPP03","Linux","Unmapped","0",""
"Istanbul","HW007","STOTSTAPP04","Linux","Unmapped","0",""
"Istanbul","HW007","STOTSTAPP05","Linux","Unmapped","0",""
"Istanbul","HW007","LSXPRDRAC01","Linux","Mapped","0.03","100070b7e420f506 | 100070b7e420f509"
"Istanbul","HW007","LSXPRDRAC02","Linux","Mapped","0.03","100070b7e420f445 | 100070b7e420f542"
"Istanbul","HW007","CBPRDESI01","AIX","Unmapped","0",""
"Istanbul","HW007","YTSPRDDB02","Linux","Unmapped","0",""
"Istanbul","HW007","EPRPRDCLN01","Windows","Unmapped","0",""
"Istanbul","HW007","COMPRDCLN03","Windows","Unmapped","0","100000620b435cea | 100000620b435ced"
"Istanbul","HW007","KKPRDDB07","Windows","Unmapped","0","100070b7e420f57e | 100070b7e420f57f | 100070b7e420f587 | 100070b7e420f588 | 100070b7e420f5a5 | 100070b7e420f5a6 | 100070b7e420f5c9 | 100070b7e420f5ca"
"Istanbul","HW007","ESRPRDCLN09","Windows","Unmapped","0",""
"Istanbul","HW007","ESRPRDCLN11","Windows","Unmapped","0",""
"Istanbul","HW007","ig_clwtstgengpu1001","Linux","Unmapped","0","100070b7e4117fca | 100070b7e4117fd5"
"Istanbul","HW007","ig_clwtstgengpu1002","Linux","Unmapped","0","100070b7e424149d | 100070b7e42414fc"
"Istanbul","HW007","KYSPRDDB01","AIX","Unmapped","0",""
"Istanbul","HW007","ig_genprdrac85","AIX","Mapped","528.03",""
"Istanbul","HW007","ig_genprdrac86","AIX","Mapped","528.03",""
"Istanbul","HW007","ig_evaprdrac01","AIX","Mapped","0.03",""
"Istanbul","HW007","ig_evaprdrac02","AIX","Mapped","0.03",""
"Istanbul","HW007","INBSESCLN05","Windows","Unmapped","0",""
"Istanbul","HW007","ESRPRDCLN13","Windows","Unmapped","0","100000620b435d06 | 100000620b436445"
"Istanbul","HW007","PSPRDDB02","AIX","Unmapped","0",""
"Istanbul","HW007","ELKPRDDAT15","Linux","Unmapped","0","100070b7e4241045 | 100070b7e4241070"
"Istanbul","HW007","SWPRDGW01","AIX","Unmapped","0",""
"Istanbul","HW007","BNXSWPRDMQ01","AIX","Mapped","0.5",""
"Istanbul","HW007","BNXSWPRDMQ02","AIX","Mapped","0.5",""
"Istanbul","HW007","ENXCBTSTRAC01","AIX","Mapped","0.03",""
