"Tarih","Lokasyon","Kabinet","Host Name","OS","Map Durumu","Provisioned (TB)","Host WWN"
"2026-05-20","Istanbul","HW007","STOTSTAPP03","Linux","Unmapped","0",""
"2026-05-20","Istanbul","HW007","STOTSTAPP04","Linux","Unmapped","0",""
"2026-05-20","Istanbul","HW007","STOTSTAPP05","Linux","Unmapped","0",""
"2026-05-20","Istanbul","HW007","LSXPRDRAC01","Linux","Mapped","0.02","10:00:70:b7:e4:20:f5:06 | 10:00:70:b7:e4:20:f5:09"
"2026-05-20","Istanbul","HW007","LSXPRDRAC02","Linux","Mapped","0.02","10:00:70:b7:e4:20:f4:45 | 10:00:70:b7:e4:20:f5:42"
"2026-05-20","Istanbul","HW007","CBPRDESI01","AIX","Unmapped","0",""
"2026-05-20","Istanbul","HW007","YTSPRDDB02","Linux","Unmapped","0",""
"2026-05-20","Istanbul","HW007","EPRPRDCLN01","Windows","Unmapped","0",""
"2026-05-20","Istanbul","HW007","COMPRDCLN03","Windows","Unmapped","0","10:00:00:62:0b:43:5c:ea | 10:00:00:62:0b:43:5c:ed"
"2026-05-20","Istanbul","HW007","KKPRDDB07","Windows","Unmapped","0","10:00:70:b7:e4:20:f5:7e | 10:00:70:b7:e4:20:f5:7f | 10:00:70:b7:e4:20:f5:87 | 10:00:70:b7:e4:20:f5:88 | 10:00:70:b7:e4:20:f5:a5 | 10:00:70:b7:e4:20:f5:a6 | 10:00:70:b7:e4:20:f5:c9 | 10:00:70:b7:e4:20:f5:ca"
"2026-05-20","Istanbul","HW007","ESRPRDCLN09","Windows","Unmapped","0",""
"2026-05-20","Istanbul","HW007","ESRPRDCLN11","Windows","Unmapped","0",""
"2026-05-20","Istanbul","HW007","ig_clwtstgengpu1001","Linux","Unmapped","0","10:00:70:b7:e4:11:7f:ca | 10:00:70:b7:e4:11:7f:d5"
"2026-05-20","Istanbul","HW007","ig_clwtstgengpu1002","Linux","Unmapped","0","10:00:70:b7:e4:24:14:9d | 10:00:70:b7:e4:24:14:fc"
"2026-05-20","Istanbul","HW007","KYSPRDDB01","AIX","Unmapped","0",""
"2026-05-20","Istanbul","HW007","ig_genprdrac85","AIX","Mapped","264.02",""
"2026-05-20","Istanbul","HW007","ig_genprdrac86","AIX","Mapped","264.02",""
"2026-05-20","Istanbul","HW007","ig_evaprdrac01","AIX","Mapped","0.02",""
"2026-05-20","Istanbul","HW007","ig_evaprdrac02","AIX","Mapped","0.02",""
"2026-05-20","Istanbul","HW007","INBSESCLN05","Windows","Unmapped","0",""
"2026-05-20","Istanbul","HW007","ESRPRDCLN13","Windows","Unmapped","0","10:00:00:62:0b:43:5d:06 | 10:00:00:62:0b:43:64:45"
"2026-05-20","Istanbul","HW007","PSPRDDB02","AIX","Unmapped","0",""
"2026-05-20","Istanbul","HW007","ELKPRDDAT15","Linux","Unmapped","0","10:00:70:b7:e4:24:10:45 | 10:00:70:b7:e4:24:10:70"
"2026-05-20","Istanbul","HW007","SWPRDGW01","AIX","Unmapped","0",""
"2026-05-20","Istanbul","HW007","BNXSWPRDMQ01","AIX","Mapped","0.25",""
"2026-05-20","Istanbul","HW007","BNXSWPRDMQ02","AIX","Mapped","0.25",""
"2026-05-20","Istanbul","HW007","ENXCBTSTRAC01","AIX","Mapped","0.01",""
"2026-05-20","Istanbul","HW007","ENXCBTSTRAC02","AIX","Mapped","0.01",""
"2026-05-20","Istanbul","HW007","ENXCBTSTRAC03","AIX","Mapped","0.01",""
"2026-05-20","Istanbul","HW007","ENXCBTSTRAC04","AIX","Mapped","0.01",""
"2026-05-20","Istanbul","HW007","ENXGENTSTRAC01","AIX","Mapped","0.02",""
"2026-05-20","Istanbul","HW007","ENXGENTSTRAC02","AIX","Mapped","0.02",""
"2026-05-20","Istanbul","HW007","TNGTSTRAC01","AIX","Mapped","1.05",""
"2026-05-20","Istanbul","HW007","TNGTSTRAC02","AIX","Mapped","1.05",""
"2026-05-20","Istanbul","HW007","SWPRDGW02","AIX","Unmapped","0",""
"2026-05-20","Istanbul","HW007","BNXUCMPRDDB04","Linux","Unmapped","0","10:00:70:b7:e4:24:12:27 | 10:00:70:b7:e4:24:12:33"
"2026-05-20","Istanbul","HW007","SWPRDAPP01","AIX","Mapped","1.75",""
"2026-05-20","Istanbul","HW007","SWPRDAPP02","AIX","Mapped","1.75",""
