"Tarih","Lokasyon","Kabinet","ID","Yerel LUN","Uzak LUN","Uzak Kabinet","Domain","Durum","Saglik","Kapasite (TB)","Sync Ilerleme"
"2026-05-17","Istanbul","HW007","2100ccbce3016dfe0000000000000000","FBPRDVM_VIP_HM_SNAP_0000","FBPRDVM_VIP_HM_SNAP_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW007","2100ccbce3016dfe0000000000000001","FBPRDVM_VIP_HM_SNAP_0001","FBPRDVM_VIP_HM_SNAP_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW005","2100ccbce3016dfe0000000000000000","FBPRDVM_VIP_HM_SNAP_0000","FBPRDVM_VIP_HM_SNAP_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW005","2100ccbce3016dfe0000000000000001","FBPRDVM_VIP_HM_SNAP_0001","FBPRDVM_VIP_HM_SNAP_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000395","cbprdarc01_asm_0200","cbprdarc01_asm_0200","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000396","cbprdarc01_asm_0201","cbprdarc01_asm_0201","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000397","cbprdarc01_asm_0202","cbprdarc01_asm_0202","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000399","cbprdarc01_asm_0204","cbprdarc01_asm_0204","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000398","cbprdarc01_asm_0203","cbprdarc01_asm_0203","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039b","cbprdarc01_asm_0206","cbprdarc01_asm_0206","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039a","cbprdarc01_asm_0205","cbprdarc01_asm_0205","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039c","cbprdarc01_asm_0207","cbprdarc01_asm_0207","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039d","cbprdarc01_asm_0208","cbprdarc01_asm_0208","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039e","cbprdarc01_asm_0209","cbprdarc01_asm_0209","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a0","cbprdarc01_asm_0211","cbprdarc01_asm_0211","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a1","cbprdarc01_asm_0212","cbprdarc01_asm_0212","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a2","cbprdarc01_asm_0213","cbprdarc01_asm_0213","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000039f","cbprdarc01_asm_0210","cbprdarc01_asm_0210","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a3","cbprdarc01_asm_0214","cbprdarc01_asm_0214","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a4","cbprdarc01_asm_0215","cbprdarc01_asm_0215","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a5","cbprdarc01_asm_0216","cbprdarc01_asm_0216","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a6","cbprdarc01_asm_0217","cbprdarc01_asm_0217","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a8","cbprdarc01_asm_0219","cbprdarc01_asm_0219","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a7","cbprdarc01_asm_0218","cbprdarc01_asm_0218","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003aa","cbprdarc01_asm_0221","cbprdarc01_asm_0221","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003a9","cbprdarc01_asm_0220","cbprdarc01_asm_0220","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003ab","cbprdarc01_asm_0222","cbprdarc01_asm_0222","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003ad","cbprdarc01_asm_0224","cbprdarc01_asm_0224","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003ac","cbprdarc01_asm_0223","cbprdarc01_asm_0223","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003ae","cbprdrac85_fs_0003","cbprdrac85_fs_0003","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003af","cbprdrac86_fs_0003","cbprdrac86_fs_0003","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003b0","vol_cbtstgen","vol_cbtstgen","","FileHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000015","CBPRDARC07_0000","CBPRDARC07_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003b2","cbdev_session","cbdev_session","","FileHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003b3","vol_fsttstapp","vol_fsttstapp","","FileHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003b4","vol_jratstapp1011","vol_jratstapp1011","","FileHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000003b5","vol_kfttstapp","vol_kfttstapp","","FileHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000001","cbprdarc01_asm_0244","cbprdarc01_asm_0244","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000000","cbprdarc01_asm_0225","cbprdarc01_asm_0225","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000002","cbprdarc01_asm_0226","cbprdarc01_asm_0226","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000003","cbprdarc01_asm_0227","cbprdarc01_asm_0227","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000006","cbprdarc01_asm_0230","cbprdarc01_asm_0230","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000005","cbprdarc01_asm_0229","cbprdarc01_asm_0229","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000004","cbprdarc01_asm_0228","cbprdarc01_asm_0228","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000008","cbprdarc01_asm_0232","cbprdarc01_asm_0232","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000009","cbprdarc01_asm_0233","cbprdarc01_asm_0233","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000007","cbprdarc01_asm_0231","cbprdarc01_asm_0231","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000b","cbprdarc01_asm_0235","cbprdarc01_asm_0235","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000a","cbprdarc01_asm_0234","cbprdarc01_asm_0234","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000d","cbprdarc01_asm_0237","cbprdarc01_asm_0237","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000c","cbprdarc01_asm_0236","cbprdarc01_asm_0236","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000e","cbprdarc01_asm_0238","cbprdarc01_asm_0238","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000000f","cbprdarc01_asm_0239","cbprdarc01_asm_0239","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000010","cbprdarc01_asm_0240","cbprdarc01_asm_0240","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000011","cbprdarc01_asm_0241","cbprdarc01_asm_0241","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000012","cbprdarc01_asm_0242","cbprdarc01_asm_0242","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000013","cbprdarc01_asm_0243","cbprdarc01_asm_0243","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000014","cbprdarc01_os_2","cbprdarc01_os_2","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000016","CBPRDARC07_0001","CBPRDARC07_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000017","CBPRDARC07_0002","CBPRDARC07_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000018","ytststdb01_hm_0016","ytststdb01_hm_0016","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000019","ytststdb01_hm_0017","ytststdb01_hm_0017","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001b","cbprdarc01_asm_0246","cbprdarc01_asm_0246","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001a","cbprdarc01_asm_0245","cbprdarc01_asm_0245","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001c","cbprdarc01_asm_0247","cbprdarc01_asm_0247","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001d","cbprdarc01_asm_0248","cbprdarc01_asm_0248","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001e","cbprdarc01_asm_0249","cbprdarc01_asm_0249","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000001f","cbprdarc01_asm_0250","cbprdarc01_asm_0250","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000020","cbprdarc01_asm_0251","cbprdarc01_asm_0251","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000021","cbprdarc01_asm_0252","cbprdarc01_asm_0252","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000022","cbprdarc01_asm_0253","cbprdarc01_asm_0253","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000023","cbprdarc01_asm_0254","cbprdarc01_asm_0254","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000024","cbprdarc01_asm_0255","cbprdarc01_asm_0255","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000025","cbprdarc01_asm_0256","cbprdarc01_asm_0256","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000026","cbprdarc01_asm_0257","cbprdarc01_asm_0257","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000027","cbprdarc01_asm_0258","cbprdarc01_asm_0258","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000028","cbprdarc01_asm_0259","cbprdarc01_asm_0259","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000029","cbprdarc01_asm_0260","cbprdarc01_asm_0260","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000002a","cbprdarc01_asm_0261","cbprdarc01_asm_0261","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000002c","cbprdarc01_asm_0263","cbprdarc01_asm_0263","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000002b","cbprdarc01_asm_0262","cbprdarc01_asm_0262","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000002d","cbprdarc01_asm_0264","cbprdarc01_asm_0264","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000022e","ytststdb01_hm_0000","ytststdb01_hm_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000022f","ytststdb01_hm_0001","ytststdb01_hm_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000230","ytststdb01_hm_0002","ytststdb01_hm_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000232","ytststdb01_hm_0004","ytststdb01_hm_0004","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000231","ytststdb01_hm_0003","ytststdb01_hm_0003","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000233","ytststdb01_hm_0005","ytststdb01_hm_0005","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000235","ytststdb01_hm_0007","ytststdb01_hm_0007","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000234","ytststdb01_hm_0006","ytststdb01_hm_0006","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000236","ytststdb01_hm_0008","ytststdb01_hm_0008","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000237","ytststdb01_hm_0009","ytststdb01_hm_0009","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000238","ytststdb01_hm_0010","ytststdb01_hm_0010","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000239","ytststdb01_hm_0011","ytststdb01_hm_0011","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000023a","ytststdb01_hm_0012","ytststdb01_hm_0012","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000023b","ytststdb01_hm_0013","ytststdb01_hm_0013","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000023c","ytststdb01_hm_0014","ytststdb01_hm_0014","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000023d","ytststdb01_hm_0015","ytststdb01_hm_0015","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000028e","cbprdrac85_os_0000","cbprdrac85_os_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000028f","cbprdrac85_fs_0000","cbprdrac85_fs_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000290","cbprdrac85_fs_0001","cbprdrac85_fs_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000291","cbprdrac85_fs_0002","cbprdrac85_fs_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000292","cbprdrac86_os_0000","cbprdrac86_os_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000293","cbprdrac86_fs_0000","cbprdrac86_fs_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000295","cbprdrac86_fs_0002","cbprdrac86_fs_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000294","cbprdrac86_fs_0001","cbprdrac86_fs_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000296","cbprdrac85-86_0000","cbprdrac85-86_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000298","cbprdrac85-86_0002","cbprdrac85-86_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000297","cbprdrac85-86_0001","cbprdrac85-86_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029a","cbprdrac85-86_0004","cbprdrac85-86_0004","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a0000000000000299","cbprdrac85-86_0003","cbprdrac85-86_0003","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029b","cbprdrac85-86_0005","cbprdrac85-86_0005","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029c","cbprdrac85-86_0006","cbprdrac85-86_0006","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029d","cbprdrac85-86_vote_0000","cbprdrac85-86_vote_0000","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029e","cbprdrac85-86_vote_0001","cbprdrac85-86_vote_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a000000000000029f","cbprdrac85-86_0007","cbprdrac85-86_0007","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a0","cbprdrac85-86_0008","cbprdrac85-86_0008","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a1","cbprdrac85-86_0009","cbprdrac85-86_0009","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a3","cbprdrac85-86_0011","cbprdrac85-86_0011","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a2","cbprdrac85-86_0010","cbprdrac85-86_0010","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a6","cbprdrac85-86_vote_0003","cbprdrac85-86_vote_0003","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a5","cbprdrac85-86_vote_0002","cbprdrac85-86_vote_0002","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a4","cbprdrac85-86_0012","cbprdrac85-86_0012","","BlockHyperMetroDomain_000","Normal","Normal","0",""
"2026-05-17","Istanbul","HW004","2100b48901d6279a00000000000002a8","cbprdrac85_86_redo_0001","cbprdrac85_86_redo_0001","","BlockHyperMetroDomain_000","Normal","Normal","0",""
