"Lokasyon","Kabinet","SVM","Volume","Size (TB)","State","Type"
"Istanbul","UMR_CLS","nasprdosk","vol_vol_chatbot_prod","0.049","online","rw"
"Istanbul","UMR_CLS","CBPRDAPP","vol_ifmprdpwc0102","2","online","rw"
"Istanbul","UMR_CLS","nfsv4_test","nfsv4test","0.195","online","rw"
"Istanbul","UMR_CLS","GENERIC_PROD","vol_bdpprdmst","0.5","online","rw"
"Istanbul","UMR_CLS","nfsv4_test","vol_sfdprdmq01","0.195","online","rw"
"Istanbul","UMR_CLS","botprdzmapp","nasprdvideo2","50","online","rw"
"Istanbul","UMR_CLS","E-FINANS_TEST","kep_test","4","online","rw"
"Istanbul","UMR_CLS","DEPOT","vol_depot_sysmonitoring","0.02","online","rw"
"Istanbul","UMR_CLS","GENERIC_TEST","vol_fraud_sasmeta_dev","0.01","online","rw"
"Istanbul","UMR_CLS","GENERIC_TEST","vol_cbottstauditlog","0.154","online","rw"
"Istanbul","UMR_CLS","PRE-PROD","vol_cbpreapp_test","1.325","online","rw"
"Istanbul","UMR_CLS","GENERIC_PROD","vol_solaris_sanal","0.021","online","rw"
"Istanbul","UMR_CLS","FinansLeasing","vol_fleprddgwapp","0.154","online","rw"
"Istanbul","UMR_CLS","GENERIC_TEST","vol_fejiratst_clone_effcase","0.488","online","rw"
"Istanbul","UMR_CLS","fsnasen01","vol_EnparaOutput_clone_260924","2.5","online","rw"
"Istanbul","UMR_CLS","FinansLeasing","vol_fletstdgwapp","0.051","online","rw"
"Istanbul","UMR_CLS","GENERIC_TEST","vol_fraud_sasshare","0.049","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","vol_pgmprdsimout","0.488","online","rw"
"Istanbul","UOM_AFF_CLS_01","GENERIC_PROD","vol_ocrm","0.684","online","rw"
"Istanbul","UOM_AFF_CLS_01","test","vol_cifs_test_snapvault","0.002","online","rw"
"Istanbul","UOM_AFF_CLS_01","GENERIC_PROD","vol_ebs","0.781","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_test_printing","vol_audit","0.293","online","rw"
"Istanbul","UOM_AFF_CLS_01","OCP_DMZ","vol_ocpprddmz02_registry","0.049","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","vol_pega","0.879","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","audit_log","0.068","online","rw"
"Istanbul","UOM_AFF_CLS_01","OCP_DMZ","vol_ocpprddmz02_rwm","0.005","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","vol_cbprdmft_infoe","0.391","online","rw"
"Istanbul","UOM_AFF_CLS_01","test","CBPRDAPP_PRINTING","0.01","online","rw"
"Istanbul","UOM_AFF_CLS_01","GENERIC_PROD","vol_ocpprdgen02_registry","0.049","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","uom_printing_reptest","0.01","online","rw"
"Istanbul","UOM_AFF_CLS_01","GENERIC_PROD","vol_ocpprdgen02_rwm","0.005","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","vol_pega_temp","0.098","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_printing_prod","vol_cbprdapp_printing","116","online","rw"
"Istanbul","UOM_AFF_CLS_01","cbprdapp_test_printing","cb_test_printing1","0.645","online","rw"
"Istanbul","UOM_AFF_CLS_02","cbprdapp_session","TR_test","0.488","online","rw"
"Istanbul","UOM_AFF_CLS_02","abc","abc_test","0.098","online","rw"
"Istanbul","UOM_AFF_CLS_02","vserver_ldaps","cifstest","0.001","online","rw"
"Istanbul","UOM_AFF_CLS_02","cbprdapp_session","TR_coreprod_shared_2","41","online","rw"
"Istanbul","UOM_AFF_CLS_02","abc","testsil","0.001","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_kfttstapp_dt_clone_841","0.02","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_crash_coresys","1.053","online","rw"
"Ankara","ANK_CLS","IBMTSM_DRC","IBMTSM_vol_TSM_02_mirror","10","online","rw"
"Ankara","ANK_CLS","cbdrcapp_out","vol_ecmdrcapp","0.469","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_OUTPUT_dest","0.488","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sfddrcorc","0.113","online","rw"
"Ankara","ANK_CLS","IBMTSM_DRC","IBMTSM_vol_TSM_03_mirror","17","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_drcjabber","0.195","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sfm_guvenlik_raporlar_ank","2.211","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_alotstcondev","1.053","online","rw"
"Ankara","ANK_CLS","IBMTSM_DRC","IBMTSM_vol_TSM_06_mirror","0.488","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_krytstweb0102_dt","0.001","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_kfttstapp_dt","0.043","online","rw"
"Ankara","ANK_CLS","FB-CORETEST","TR_coretestdrc_shared_2","0.781","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocptstdev51_registry","2.2","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","midtstapp0102_test_dt","0.273","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_pega_dev_dt","0.066","online","rw"
"Ankara","ANK_CLS","FB-CORETEST","cb_testdrc_printing1","0.059","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_mctstapp_dt","0.119","online","rw"
"Ankara","ANK_CLS","botprdzmapp_drc","nasdrcvidyo_enpara","0.002","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_crm_test_dt","0.009","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_ecmtstdev_dt","0.01","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_cbtstcs","0.206","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbpreout_dt","1","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocptstsxm51_registry","0.051","online","rw"
"Ankara","ANK_CLS","cbdrcapp_out","vol_core_stress","0.098","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_dadrcapp","1.4","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sasshare","0.104","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_dgwtstapp_dt","0.008","online","rw"
"Ankara","ANK_CLS","cbdrcapp_out","vol_dgwdrcapp","0.207","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_maepreapp_dt","0.029","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocpprdsxm51_registry","0.051","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","TR_coredev_emergency_dt","0.098","online","rw"
"Ankara","ANK_CLS","FB-CORETEST","vol_ecmtstddrc","0.098","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sasdepot","0.052","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocpdrcgengpu01_rwm","0.005","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_cbdrcesb","4.211","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_kftpreap_dt","0.049","online","rw"
"Ankara","ANK_CLS","IBMTSM_DRC","IBMTSM_vol_TSM_05_mirror","42","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_logoerm_ank","0.514","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbtstgen_kos_dt","0.293","online","rw"
"Ankara","ANK_CLS","HEMENAL_DRC","hemenal_drc","0.029","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_datstflk010203","0.016","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sfddrc","0.195","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbpreapp_dt","0.781","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocpdrcdmz01_rwm","0.005","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_evamdrc","1.053","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbtstesb0102_dt","1.756","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocptstdmz51_registry","0.051","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_ebststws0102_dt","0.002","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_pega_test_dt","0.096","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_sfdtstorc_dt","2","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_sasmeta","0.022","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_vol_fbdefter_test_archive_tr_dt","0","online","rw"
"Ankara","ANK_CLS","stress_drc","vol_ptstrapp0304","0.049","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_alodrckfk","0.207","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_gecici_sasfraud","0.103","online","rw"
"Ankara","ANK_CLS","E-FINANS-DRC","vol_kep_prod","0.103","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_vol_fbdefter_test_tr_dt","0","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_arttstapp_shared_dt","0.402","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocpdrcgen10_registry","0.051","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocptstsxm51_rwm","5","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbpreesb_dt","0.244","online","rw"
"Ankara","ANK_CLS","cbdrcapp_out","cbdrcapp010203","0.195","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_evamdrt","1.053","online","rw"
"Ankara","ANK_CLS","GENERIC_DRC","vol_ocpprdcsy51_registry","0.054","online","rw"
"Ankara","ANK_CLS","GENERIC_DEVTEST","vol_cbtstgen_dt","0.257","online","rw"
"Ankara","ANK_CLS","DEPOT","vol_baremetal_clone2705","2.6","online","rw"
