"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_008","STOTSTAPP05","None","FC","10009440C9D00BB1;10009440C9D00BB2;10009440C9D03B63;10009440C9D03B64;10009440C9D03B72;10009440C9D03B73;10009440C9D0C66F;10009440C9D0C670"
"ISTANBUL","PURE_008","ECMPRDRAC03","ECMPRDRAC0304","FC","C0507608A6A50162;C0507608A6A50163;C0507608A6A50164;C0507608A6A50165;C0507608A6A50166;C0507608A6A50167;C0507608A6A50168;C0507608A6A50169;C0507608A6A5016A;C0507608A6A5016B;C0507608A6A5016C;C0507608A6A5016D;C0507608A6A5016E;C0507608A6A5016F;C0507608A6A50170;C0507608A6A50171"
"ISTANBUL","PURE_008","ECMPRDRAC04","ECMPRDRAC0304","FC","C0507608D4E80170;C0507608D4E80171;C0507608D4E80172;C0507608D4E80173;C0507608D4E80174;C0507608D4E80175;C0507608D4E80176;C0507608D4E80177;C0507608D4E80178;C0507608D4E80179;C0507608D4E8017A;C0507608D4E8017B;C0507608D4E8017C;C0507608D4E8017D;C0507608D4E8017E;C0507608D4E8017F"
"ISTANBUL","PURE_008","ALOPRDKFK12","None","FC","51402EC01552270C;51402EC01552270E"
"ISTANBUL","PURE_008","ODIPRDAPP02","None","FC","C050760C116C0050;C050760C116C0051;C050760C116C0052;C050760C116C0053;C050760C116C0054;C050760C116C0055;C050760C116C0056;C050760C116C0057;C050760C116C0058;C050760C116C0059;C050760C116C005A;C050760C116C005B;C050760C116C005C;C050760C116C005D;C050760C116C005E;C050760C116C005F"
"ISTANBUL","PURE_008","KFTPRDRAC01","KFTPRDRAC0102","FC","C050760C116A0040;C050760C116A0041;C050760C116A0042;C050760C116A0043;C050760C116A0044;C050760C116A0045;C050760C116A0046;C050760C116A0047;C050760C116A0048;C050760C116A0049;C050760C116A004A;C050760C116A004B;C050760C116A004C;C050760C116A004D;C050760C116A004E;C050760C116A004F"
"ISTANBUL","PURE_008","KFTPRDRAC02","KFTPRDRAC0102","FC","C050760C116C0070;C050760C116C0071;C050760C116C0072;C050760C116C0073;C050760C116C0074;C050760C116C0075;C050760C116C0076;C050760C116C0077;C050760C116C0078;C050760C116C0079;C050760C116C007A;C050760C116C007B;C050760C116C007C;C050760C116C007D;C050760C116C007E;C050760C116C007F"
"ISTANBUL","PURE_008","ELKPRDDAT11","None","FC","10009440C9D487C6;10009440C9D497E5"
"ISTANBUL","PURE_008","BTPRDOPVIRT02","None","FC","51402EC001CA7DBC;51402EC001CA88A0"
"ISTANBUL","PURE_008","BTPRDOPVIRT03","None","FC","51402EC0123F4528;51402EC0123F452A"
"ISTANBUL","PURE_008","BTPRDOPVIRT01","None","FC","51402EC001827E38;51402EC001827EA8"
"ISTANBUL","PURE_008","GENTSTRAC01","GENTSTRAC0102","FC","C050760435A00404;C050760435A00405;C050760435A00406;C050760435A00407;C050760435A00408;C050760435A00409;C050760435A0040A;C050760435A0040B;C050760435A0040C;C050760435A0040D;C050760435A0040E;C050760435A0040F;C050760435A00410;C050760435A00411;C050760435A00412;C050760435A00413"
"ISTANBUL","PURE_008","GENTSTRAC02","GENTSTRAC0102","FC","C05076043613037A;C05076043613037B;C05076043613037C;C05076043613037D;C05076043613037E;C05076043613037F;C050760436130380;C050760436130381;C050760436130382;C050760436130383;C050760436130384;C050760436130385;C050760436130386;C050760436130387;C050760436130388;C050760436130389"
"ISTANBUL","PURE_008","ALMPRDCLN01","None","FC","10009440C9D43769;10009440C9D4376A;10009440C9D437DE;10009440C9D437DF"
"ISTANBUL","PURE_008","SEATSTRAC01","SEATSTRAC","FC","C050760C116A006A;C050760C116A006B;C050760C116A006C;C050760C116A006D;C050760C116A006E;C050760C116A006F;C050760C116A0070;C050760C116A0071;C050760C116A0072;C050760C116A0073;C050760C116A0074;C050760C116A0075;C050760C116A0076;C050760C116A0077;C050760C116A0078;C050760C116A0079"
