"Lokasyon","Kabinet","Volume","Size (TB)","Serial"
"Istanbul","PURE_07B","FEPRDVM_UNIX_00","5","AB570CBFDFC446E60001218E"
"Istanbul","PURE_07B","FEPRDVM_UNIX_01","5","AB570CBFDFC446E60001218F"
"Istanbul","PURE_07B","FEPRDVM_UNIX_02","5","AB570CBFDFC446E600012190"
"Istanbul","PURE_07B","FEPRDVM_UNIX_03","5","AB570CBFDFC446E600012191"
"Istanbul","PURE_07B","FEPRDVM_UNIX_04","5","AB570CBFDFC446E600012192"
"Istanbul","PURE_07B","FEPRDVM_UNIX_06","5","AB570CBFDFC446E600012194"
"Istanbul","PURE_07B","FEPRDVM_UNIX_07","5","AB570CBFDFC446E600012195"
"Istanbul","PURE_07B","FEPRDVM_UNIX_08","5","AB570CBFDFC446E600012196"
"Istanbul","PURE_07B","FEPRDVM_UNIX_09","5","AB570CBFDFC446E600012197"
"Istanbul","PURE_07B","FEPRDVM_UNIX_11","5","AB570CBFDFC446E600012199"
"Istanbul","PURE_07B","FEPRDVM_UNIX_13","5","AB570CBFDFC446E60001219B"
"Istanbul","PURE_07B","FEPRDVM_UNIX_14","5","AB570CBFDFC446E60001219C"
"Istanbul","PURE_07B","FEPRDVM_UNIX_17","5","AB570CBFDFC446E60001219F"
"Istanbul","PURE_07B","FEPRDVM_UNIX_18","5","AB570CBFDFC446E6000121A0"
"Istanbul","PURE_07B","FEPRDVM_UNIX_19","5","AB570CBFDFC446E6000121A1"
"Istanbul","PURE_07B","FEPRDVM_UNIX_20","5","AB570CBFDFC446E6000121A2"
"Istanbul","PURE_07B","FEPRDVM_UNIX_21","5","AB570CBFDFC446E6000121A3"
"Istanbul","PURE_07B","FEPRDVM_UNIX_22","5","AB570CBFDFC446E6000121A4"
"Istanbul","PURE_07B","FEPRDVM_UNIX_23","5","AB570CBFDFC446E6000121A5"
"Istanbul","PURE_07B","FEPRDVM_UNIX_24","5","AB570CBFDFC446E6000121A6"
"Istanbul","PURE_07B","FEPRDVM_UNIX_28","5","AB570CBFDFC446E6000121AA"
"Istanbul","PURE_07B","FEPRDVM_UNIX_30","5","AB570CBFDFC446E6000121AC"
"Istanbul","PURE_07B","FEPRDVM_UNIX_31","5","AB570CBFDFC446E6000121AD"
"Istanbul","PURE_07B","FEPRDVM_UNIX_32","5","AB570CBFDFC446E6000121AE"
"Istanbul","PURE_07B","FEPRDVM_UNIX_33","5","AB570CBFDFC446E6000121AF"
"Istanbul","PURE_07B","FEPRDVM_UNIX_34","5","AB570CBFDFC446E6000121B0"
"Istanbul","PURE_07B","FEPRDVM_UNIX_35","5","AB570CBFDFC446E6000121B1"
"Istanbul","PURE_07B","FEPRDVM_UNIX_36","5","AB570CBFDFC446E6000121B2"
"Istanbul","PURE_07B","FEPRDVM_UNIX_38","5","AB570CBFDFC446E6000121B4"
"Istanbul","PURE_07B","FEPRDVM_UNIX_39","5","AB570CBFDFC446E6000121B5"
