"Lokasyon","Kabinet","Host Name","OS","Host Group","Protocol","Provisioned (TB)","Host WWN"
"Istanbul","PURE_07B","STOTSTAPP03","Linux","","FC","0","10:00:94:40:c9:d0:37:99 | 10:00:94:40:c9:d0:37:9a | 10:00:94:40:c9:d0:6c:b7 | 10:00:94:40:c9:d0:6c:b8 | 10:00:94:40:c9:d0:7c:a5 | 10:00:94:40:c9:d0:7c:a6 | 10:00:94:40:c9:d0:f6:81 | 10:00:94:40:c9:d0:f6:82"
"Istanbul","PURE_07B","FEPRDVM02","VMware ESX","HG-FEPRDVM-UNIX","FC","405","10:00:1c:98:ec:09:db:12 | 10:00:1c:98:ec:09:eb:26"
"Istanbul","PURE_07B","FEPRDVM03","VMware ESX","HG-FEPRDVM-UNIX","FC","405","51:40:2e:c0:12:cb:7e:d8 | 51:40:2e:c0:12:cb:8c:dc"
"Istanbul","PURE_07B","FEPRDVM04","VMware ESX","HG-FEPRDVM-UNIX","FC","405","51:40:2e:c0:12:cb:81:7c | 51:40:2e:c0:12:cb:85:64"
"Istanbul","PURE_07B","FEPRDVM07","VMware ESX","HG-FEPRDVM-UNIX","FC","405","51:40:2e:c0:01:cb:3b:48 | 51:40:2e:c0:01:cb:3b:5a"
"Istanbul","PURE_07B","FEPRDVM08","VMware ESX","HG-FEPRDVM-UNIX","FC","405","51:40:2e:c0:01:cb:3b:72 | 51:40:2e:c0:01:cb:3c:c2"
"Istanbul","PURE_07B","ELKPRDDAT08","Linux","","FC","29.25","10:00:00:62:0b:43:73:d5 | 10:00:00:62:0b:43:73:f6"
"Istanbul","PURE_07B","ELKPRDDAT07","Linux","","FC","29.25","10:00:00:62:0b:43:5a:66 | 10:00:00:62:0b:43:5a:81"
"Istanbul","PURE_07B","ALOPRDKFK14","Linux","","FC","48","10:00:94:40:c9:d0:82:27 | 10:00:94:40:c9:d0:82:2e"
"Istanbul","PURE_07B","ALOPRDKFK15","Linux","","FC","48","10:00:94:40:c9:d0:c2:1f | 10:00:94:40:c9:d0:c2:25"
"Istanbul","PURE_07B","ALOPRDKFK11","Linux","","FC","57.58","51:40:2e:c0:15:52:27:28 | 51:40:2e:c0:15:52:27:2a"
"Istanbul","PURE_07B","ELKPRDDAT04","Linux","","FC","30.42","51:40:2e:c0:12:cb:15:fe | 51:40:2e:c0:12:cb:1d:ce"
"Istanbul","PURE_07B","STOPRDAPP06","Linux","","FC","0","10:00:00:62:0b:42:46:5a | 10:00:00:62:0b:42:46:5b | 10:00:00:62:0b:42:46:6c | 10:00:00:62:0b:42:46:6d"
"Istanbul","PURE_07B","ALOPRDKFK17","Linux","","FC","48","10:00:00:62:0b:42:3c:51 | 10:00:00:62:0b:42:3c:5b"
"Istanbul","PURE_07B","PSPRDESX07","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d0:37:06 | 10:00:94:40:c9:d0:37:07 | 10:00:94:40:c9:d0:8c:2a | 10:00:94:40:c9:d0:8c:2b"
"Istanbul","PURE_07B","PSPRDESX08","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d0:1b:25 | 10:00:94:40:c9:d0:47:49"
"Istanbul","PURE_07B","PSPRDESX09","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d0:0b:2a | 10:00:94:40:c9:d0:27:ae"
"Istanbul","PURE_07B","PSPRDESX20","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d0:be:e1 | 10:00:94:40:c9:d4:81:3f"
"Istanbul","PURE_07B","PSPRDESX21","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d4:80:f9 | 10:00:94:40:c9:d4:81:42"
"Istanbul","PURE_07B","PSPRDESX22","VMware ESX","PSPRDESX","FC","30.26","10:00:94:40:c9:d4:81:12 | 10:00:94:40:c9:d4:81:a8"
"Istanbul","PURE_07B","PGMPRDRAC01","Linux","PGMPRDRAC0102","FC","0.34","51:40:2e:c0:01:ca:6e:d8 | 51:40:2e:c0:01:ca:6e:da | 51:40:2e:c0:01:ca:6e:dc | 51:40:2e:c0:01:ca:6e:de"
"Istanbul","PURE_07B","PGMPRDRAC02","Linux","PGMPRDRAC0102","FC","0.34","51:40:2e:c0:01:ca:79:0c | 51:40:2e:c0:01:ca:79:0e"
"Istanbul","PURE_07B","SWPRDMGW01","AIX","","FC","0.79","c0:50:76:0c:11:6a:00:30 | c0:50:76:0c:11:6a:00:31 | c0:50:76:0c:11:6a:00:32 | c0:50:76:0c:11:6a:00:33 | c0:50:76:0c:11:6a:00:34 | c0:50:76:0c:11:6a:00:35 | c0:50:76:0c:11:6a:00:36 | c0:50:76:0c:11:6a:00:37 | c0:50:76:0c:11:6a:00:38 | c0:50:76:0c:11:6a:00:39 | c0:50:76:0c:11:6a:00:3a | c0:50:76:0c:11:6a:00:3b | c0:50:76:0c:11:6a:00:3c | c0:50:76:0c:11:6a:00:3d | c0:50:76:0c:11:6a:00:3e | c0:50:76:0c:11:6a:00:3f"
"Istanbul","PURE_07B","SWPRDMGW02","AIX","","FC","0.79","c0:50:76:0c:11:6c:00:60 | c0:50:76:0c:11:6c:00:61 | c0:50:76:0c:11:6c:00:62 | c0:50:76:0c:11:6c:00:63 | c0:50:76:0c:11:6c:00:64 | c0:50:76:0c:11:6c:00:65 | c0:50:76:0c:11:6c:00:66 | c0:50:76:0c:11:6c:00:67 | c0:50:76:0c:11:6c:00:68 | c0:50:76:0c:11:6c:00:69 | c0:50:76:0c:11:6c:00:6a | c0:50:76:0c:11:6c:00:6b | c0:50:76:0c:11:6c:00:6c | c0:50:76:0c:11:6c:00:6d | c0:50:76:0c:11:6c:00:6e | c0:50:76:0c:11:6c:00:6f"
"Istanbul","PURE_07B","KFTPRDRAC01","AIX","KFTPRDRAC0102","FC","0.03","c0:50:76:0c:11:6a:00:40 | c0:50:76:0c:11:6a:00:41 | c0:50:76:0c:11:6a:00:42 | c0:50:76:0c:11:6a:00:43 | c0:50:76:0c:11:6a:00:44 | c0:50:76:0c:11:6a:00:45 | c0:50:76:0c:11:6a:00:46 | c0:50:76:0c:11:6a:00:47 | c0:50:76:0c:11:6a:00:48 | c0:50:76:0c:11:6a:00:49 | c0:50:76:0c:11:6a:00:4a | c0:50:76:0c:11:6a:00:4b | c0:50:76:0c:11:6a:00:4c | c0:50:76:0c:11:6a:00:4d | c0:50:76:0c:11:6a:00:4e | c0:50:76:0c:11:6a:00:4f"
"Istanbul","PURE_07B","KFTPRDRAC02","AIX","KFTPRDRAC0102","FC","0.03","c0:50:76:0c:11:6c:00:70 | c0:50:76:0c:11:6c:00:71 | c0:50:76:0c:11:6c:00:72 | c0:50:76:0c:11:6c:00:73 | c0:50:76:0c:11:6c:00:74 | c0:50:76:0c:11:6c:00:75 | c0:50:76:0c:11:6c:00:76 | c0:50:76:0c:11:6c:00:77 | c0:50:76:0c:11:6c:00:78 | c0:50:76:0c:11:6c:00:79 | c0:50:76:0c:11:6c:00:7a | c0:50:76:0c:11:6c:00:7b | c0:50:76:0c:11:6c:00:7c | c0:50:76:0c:11:6c:00:7d | c0:50:76:0c:11:6c:00:7e | c0:50:76:0c:11:6c:00:7f"
"Istanbul","PURE_07B","FEPRDVM01","VMware ESX","HG-FEPRDVM-UNIX","FC","405","10:00:b4:7a:f1:d2:07:ab | 10:00:b4:7a:f1:d2:30:9c"
"Istanbul","PURE_07B","DAPRDCAS05","Linux","","FC","20.5","51:40:2e:c0:01:ca:77:a8 | 51:40:2e:c0:01:ca:84:ec"
