"Tarih","Lokasyon","Fabric","SwitchName","IP","Status","Model","Firmware","TotalPorts","OnlinePorts","FreePorts","HostPorts","StoragePorts","ISLPorts","Speed8G","Speed16G","Speed32G","Speed64G","ErrorPorts","Uptime","ActiveCfg"
"2026-05-21","Istanbul","A","AI18FC187","10.81.165.187","OK","Brocade X7-8","9.2.2a","384","298","86","262","36","128","0","77","166","55","41","166 days 2:51","SANDR1_CFG"
"2026-05-21","Istanbul","B","AI25FC190","10.81.165.190","OK","Brocade X7-8","9.2.2a","384","296","88","259","37","128","0","75","166","55","43","159 days 2:28","SANDR2_CFG"
"2026-05-21","Istanbul","A","EO17FC184","10.81.165.184","OK","Brocade X7-8","9.2.2a","384","323","61","294","29","128","0","60","176","87","37","159 days 2:43","SANDR2_CFG"
"2026-05-21","Istanbul","B","EO24FC193","10.81.165.193","OK","Brocade X7-8","9.2.2a","384","326","58","297","29","128","0","61","178","87","15","166 days 2:29","SANDR1_CFG"
"2026-05-21","Istanbul","A","CN39FC196","10.81.165.196","OK","Brocade X7-8","9.2.2a","384","280","104","153","127","128","0","84","145","51","40","159 days 2:25","SANDR2_CFG"
"2026-05-21","Istanbul","B","CO39FC206","10.81.165.206","OK","Brocade X7-8","9.2.2a","384","260","124","133","127","128","0","87","121","52","42","110 days 20:10","SANDR2_CFG"
"2026-05-21","Istanbul","A","CO39FC37","10.81.165.37","OK","Brocade X7-8","9.2.2a","384","279","105","152","127","128","0","84","143","52","41","166 days 2:38","SANDR1_CFG"
"2026-05-21","Istanbul","B","CN39FC209","10.81.165.209","OK","Brocade X7-8","9.2.2a","384","259","125","132","127","128","0","85","122","52","43","159 days 2:47","SANDR1_CFG"
"2026-05-21","Ankara","A","DR707FC215","10.25.167.215","OK","Brocade X7-8","9.2.2c","384","184","200","159","25","128","1","22","157","4","73","34 days 10:32","SANDRC2_CFG"
"2026-05-21","Ankara","B","DR712FC218","10.25.167.218","OK","Brocade X7-8","9.2.2c","384","185","199","160","25","128","1","22","158","4","27","28 days 10:37","DRC_CONFIG"
"2026-05-21","Ankara","A","DR406FC221","10.25.167.221","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","128","0","3","197","48","91","34 days 9:56","SANDRC2_CFG"
"2026-05-21","Ankara","B","DR412FC224","10.25.167.224","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","128","0","3","197","48","90","28 days 10:07","DRC_CONFIG"
"2026-05-21","Ankara","A","DR815FC188","10.25.167.188","OK","Brocade X7-8","9.2.2c","384","61","323","61","0","128","0","0","16","45","0","28 days 11:27","DRC_CONFIG"
"2026-05-21","Ankara","B","DR810FC191","10.25.167.191","OK","Brocade X7-8","9.2.2c","384","85","299","85","0","128","0","0","24","61","28","34 days 11:22","SANDRC2_CFG"
"2026-05-21","Ankara","A","DR712FC194","10.25.167.194","OK","Brocade X7-8","9.2.2c","384","79","305","79","0","128","0","0","24","55","0","28 days 11:06","DRC_CONFIG"
"2026-05-21","Ankara","B","DR707FC197","10.25.167.197","OK","Brocade X7-8","9.2.2c","384","56","328","56","0","128","0","0","16","40","14","34 days 11:01","SANDRC2_CFG"
"2026-05-21","Kos","A","DL21KOS126","10.81.167.126","OK","Brocade X7-4","9.2.0c","144","94","50","62","32","0","2","10","82","0","35","502 days 2:46","K199_CFG"
"2026-05-21","Kos","B","DM21KOS129","10.81.167.129","OK","Brocade X7-4","9.2.0c","144","93","51","61","32","0","2","9","82","0","10","495 days 2:32","K200_CFG"
"2026-05-21","KristalKule","A","KKSAN01A1","10.85.7.61","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","271 days 14:05","GM_61"
"2026-05-21","KristalKule","B","KKSAN02A2","10.85.7.62","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","271 days 13:39","GM_62"
