"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","0","3","0","16G","Online","Host","51:40:2e:c0:12:3f:e2:80","SN1100Q FW:v9.14.00 DVR:v5.4.85.0",,,"0","",""
"Istanbul","A","AI18FC187","1","3","1","32G","Online","Host","28:f0:a8:d4:e0:5d:d4:a5","",,,"1","warning",""
"Istanbul","A","AI18FC187","2","3","2","32G","Online","Host","28:f0:cc:bc:e3:01:6e:35","",,,"0","",""
"Istanbul","A","AI18FC187","3","3","3","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","4","3","4","64G","Online","Host","10:00:5c:ed:8c:55:79:63","0",,,"0","",""
"Istanbul","A","AI18FC187","5","3","5","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","6","3","6","32G","Online","Host","10:00:b4:7a:f1:6e:1b:8d","Emulex PPN-10:00:b4:7a:f1:6e:1b:8d",,,"0","",""
"Istanbul","A","AI18FC187","7","3","7","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","8","3","8","32G","Online","Host","29:02:cc:bc:e3:01:6d:f8","",,,"0","",""
"Istanbul","A","AI18FC187","9","3","9","64G","Online","Host","10:00:5c:ed:8c:55:19:fa","Emulex PPN-10:00:5c:ed:8c:55:19:fa",,,"0","",""
"Istanbul","A","AI18FC187","10","3","10","32G","Online","Host","10:00:b4:7a:f1:6e:18:d5","2",,,"0","",""
"Istanbul","A","AI18FC187","11","3","11","32G","Online","Host","10:00:94:40:c9:d4:80:f3","Emulex PPN-10:00:94:40:c9:d4:80:f3",,,"0","",""
"Istanbul","A","AI18FC187","12","3","12","64G","Online","Host","10:00:70:b7:e4:22:86:67","Emulex PPN-10:00:70:b7:e4:22:86:67",,,"0","",""
"Istanbul","A","AI18FC187","13","3","13","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","14","3","14","32G","Online","Host","10:00:00:62:0b:43:62:18","Emulex PPN-10:00:00:62:0B:43:62:18",,,"0","",""
"Istanbul","A","AI18FC187","15","3","15","32G","Online","Host","10:00:94:40:c9:d0:1f:3f","Emulex PPN-10:00:94:40:c9:d0:1f:3f",,,"0","",""
"Istanbul","A","AI18FC187","16","3","16","16G","Online","Host","51:40:2e:c0:11:08:98:b0","SN1100Q FW:v9.14.00 DVR:v5.4.83.1",,,"0","",""
"Istanbul","A","AI18FC187","17","3","17","64G","Online","Storage","52:4a:93:77:8a:df:89:0c","",,,"0","",""
"Istanbul","A","AI18FC187","18","3","18","32G","Online","Host","21:00:f4:c7:aa:05:11:6a","",,,"0","",""
"Istanbul","A","AI18FC187","19","3","19","16G","Online","Host","51:40:2e:c0:12:3f:e2:dc","SN1100Q FW:v9.14.00 DVR:v5.4.85.0",,,"0","",""
"Istanbul","A","AI18FC187","20","3","20","32G","Online","Host","10:00:00:62:0b:43:54:2a","Emulex PPN-10:00:00:62:0b:43:54:2a",,,"0","",""
