"Lokasyon","Fabric","SwitchName","IP","Status","Model","Firmware","TotalPorts","OnlinePorts","FreePorts","HostPorts","StoragePorts","ISLPorts","Speed8G","Speed16G","Speed32G","Speed64G","ErrorPorts","Uptime","ActiveCfg"
"Istanbul","A","AI18FC187","10.81.165.187","OK","Brocade X7-8","9.2.2a","384","300","84","264","36","0","0","77","168","55","41","159 days 11:41","SANDR1_CFG"
"Istanbul","B","AI25FC190","10.81.165.190","OK","Brocade X7-8","9.2.2a","384","298","86","261","37","0","0","76","167","55","43","152 days 11:17","SANDR2_CFG"
"Istanbul","A","EO17FC184","10.81.165.184","OK","Brocade X7-8","9.2.2a","384","324","60","295","29","0","0","60","177","87","36","152 days 11:32","SANDR2_CFG"
"Istanbul","B","EO24FC193","10.81.165.193","OK","Brocade X7-8","9.2.2a","384","327","57","298","29","0","0","61","179","87","1","159 days 11:17","SANDR1_CFG"
"Istanbul","A","CN39FC196","10.81.165.196","OK","Brocade X7-8","9.2.2a","384","280","104","153","127","0","0","84","145","51","40","152 days 11:13","SANDR2_CFG"
"Istanbul","B","CO39FC206","10.81.165.206","OK","Brocade X7-8","9.2.2a","384","260","124","133","127","0","0","87","121","52","42","104 days 4:58","SANDR2_CFG"
"Istanbul","A","CO39FC37","10.81.165.37","OK","Brocade X7-8","9.2.2a","384","279","105","152","127","0","0","84","143","52","42","159 days 11:25","SANDR1_CFG"
"Istanbul","B","CN39FC209","10.81.165.209","OK","Brocade X7-8","9.2.2a","384","259","125","132","127","0","0","85","122","52","43","152 days 11:34","SANDR1_CFG"
"Ankara","A","DR707FC215","10.25.167.215","OK","Brocade X7-8","9.2.2c","384","185","199","160","25","0","1","22","158","4","75","27 days 19:18","SANDRC2_CFG"
"Ankara","B","DR712FC218","10.25.167.218","OK","Brocade X7-8","9.2.2c","384","185","199","160","25","0","1","22","158","4","27","21 days 19:23","DRC_CONFIG"
"Ankara","A","DR406FC221","10.25.167.221","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","0","0","3","197","48","91","27 days 18:42","SANDRC2_CFG"
"Ankara","B","DR412FC224","10.25.167.224","OK","Brocade X7-8","9.2.2c","384","248","136","159","89","0","0","3","197","48","91","21 days 18:52","DRC_CONFIG"
"Ankara","A","DR815FC188","10.25.167.188","OK","Brocade X7-8","9.2.2c","384","61","323","61","0","0","0","0","16","45","0","21 days 20:12","DRC_CONFIG"
"Ankara","B","DR810FC191","10.25.167.191","OK","Brocade X7-8","9.2.2c","384","85","299","85","0","0","0","0","24","61","28","27 days 20:07","SANDRC2_CFG"
"Ankara","A","DR712FC194","10.25.167.194","OK","Brocade X7-8","9.2.2c","384","79","305","79","0","0","0","0","24","55","0","21 days 19:51","DRC_CONFIG"
"Ankara","B","DR707FC197","10.25.167.197","OK","Brocade X7-8","9.2.2c","384","56","328","56","0","0","0","0","16","40","14","27 days 19:45","SANDRC2_CFG"
"Kos","A","DL21KOS126","10.81.167.126","OK","Brocade X7-4","9.2.0c","144","94","50","62","32","0","2","10","82","0","35","495 days 11:30","K199_CFG"
"Kos","B","DM21KOS129","10.81.167.129","OK","Brocade X7-4","9.2.0c","144","93","51","61","32","0","2","9","82","0","10","488 days 11:16","K200_CFG"
"KristalKule","A","KKSAN01A1","10.85.7.61","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","264 days 22:48","GM_61	FBPRDESX56_1_NETAPP2750; FBPRDESX57_1_NETAPP2750"
"KristalKule","B","KKSAN02A2","10.85.7.62","OK","Brocade G720","9.2.2","64","4","60","4","0","0","0","2","2","0","0","264 days 22:23","GM_62	FBPRDESX56_1_NETAPP2750; FBPRDESX57_1_NETAPP2750"
